redump_name,serial
"Club Football - AC Milan (Europe) (En,De,It)",CM-012
"Club Football - Ajax Amsterdam (Europe) (En,Fr,It,Nl)",CM-018
"Club Football - Arsenal (Europe) (En,Fr,De,Nl)",CM-019
Club Football - Aston Villa (UK),CM-020
Club Football - Borussia Dortmund (Germany),CM-023
Club Football - Celtic FC (UK),CM-024
Club Football - Chelsea FC (UK),CM-025
"Club Football - FC Barcelona (Europe) (En,Es,It,Ca)",CM-021
"Club Football - FC Bayern Muenchen (Europe) (En,De,Es)",CM-022
"Club Football - FC Internazionale (Europe) (En,De,It)",CM-027
Club Football - Hamburger SV (Germany),CM-035
"Club Football - Juventus (Europe) (En,De,It)",CM-028
Club Football - Leeds United (UK),CM-029
"Club Football - Liverpool FC (Europe) (En,Fr,De,Es,It,Nl)",CM-031
Club Football - Liverpool FC (UK),CM-030
"Club Football - Manchester United (Europe) (En,Fr,De,Es,It,Nl)",CM-032
Club Football - Rangers FC (UK),CM-033
"Club Football - Real Madrid (Europe) (En,Fr,De,Es,It,Nl)",CM-034
"Club Football 2005 - AC Milan (Europe) (En,De,It)",CM-058
"Club Football 2005 - Ajax Amsterdam (Europe) (En,Fr,It,Nl)",CM-057
"Club Football 2005 - Arsenal (Europe) (En,Fr)",CM-049
Club Football 2005 - Aston Villa (UK),CM-051
Club Football 2005 - Birmingham City (UK),CM-065
Club Football 2005 - Borussia Dortmund (Germany),CM-063
Club Football 2005 - Celtic FC (UK),CM-053
Club Football 2005 - Chelsea FC (UK),CM-050
Club Football 2005 - FC Barcelona (Europe),CM-056
"Club Football 2005 - FC Bayern Muenchen (Europe) (En,De,Es)",CM-062
"Club Football 2005 - FC Internazionale (Europe) (En,De,It)",CM-059
Club Football 2005 - Hamburger SV (Germany),CM-061
"Club Football 2005 - Juventus (Europe) (En,De,It)",CM-060
"Club Football 2005 - Liverpool FC (Europe) (En,Fr,De)",CM-069
Club Football 2005 - Liverpool FC (UK),CM-048
"Club Football 2005 - Manchester United (Europe) (En,Fr,De,Es,It,Nl)",CM-047
Club Football 2005 - Newcastle United (UK),CM-064
"Club Football 2005 - Olympique de Marseille (Europe) (En,Fr)",CM-068
"Club Football 2005 - Paris Saint-Germain (France) (En,Fr)",CM-067
Club Football 2005 - Rangers FC (UK),CM-054
"Club Football 2005 - Real Madrid (Europe) (En,Fr,De,Es,It)",CM-055
Club Football 2005 - Tottenham Hotspur (UK),CM-066
"Codename - Kids Next Door - Operation - V.I.D.E.O.G.A.M.E. (Europe) (En,De)",TT-138
Codename - Kids Next Door - Operation - V.I.D.E.O.G.A.M.E. (USA),TT-138
"Cold Fear (USA, Europe) (En,Fr,De,Es,It)",US-075
"Cold War (Europe) (En,Fr,De,Es,It)",DC-004
Cold War (USA),DC-004
Cold War (USA) (Demo),DC-006
Colin McRae Rally 04 (Asia),CM-016
"Colin McRae Rally 04 (Europe) (En,Fr,De,Es,It)",CM-016
"Colin McRae Rally 04 (USA) (En,Fr,De,Es,It)",CM-016
"Colin McRae Rally 2005 (Europe) (En,Fr,De,Es,It)",CM-043
Colin McRae Rally 2005 (USA),CM-043
Colin McRae Rally 2005 (World) (Beta),
"Colin McRae Rally 3 (Asia) (En,Fr,Es)",CM-001
"Colin McRae Rally 3 (Europe) (En,Fr,De,Es,It)",CM-001
Colin McRae Rally 3 (USA),CM-001
College Hoops 2K6 (USA),TT-145
College Hoops 2K7 (USA),TT-175
Combat - Task Force 121 (USA),GV-003
Combat Elite - WWII Paratroopers (USA),SP-001
Combat Elite - WWII Paratroopers (USA) (Beta),
"Commandos - Strike Force (USA, Europe) (En,Fr,De,Es,It)",SC-249
Commandos 2 - Men of Courage (Asia),ES-008
Commandos 2 - Men of Courage (Europe),ES-008
"Commandos 2 - Men of Courage (Europe) (Fr,Es,It)",ES-008
Commandos 2 - Men of Courage (Germany),ES-008
Commandos 2 - Men of Courage (USA),ES-008
"Conan (Europe) (En,Fr,De,Es,It)",TM-008
Conflict - Desert Storm (Europe),SC-001
Conflict - Desert Storm (USA),TT-005
Conflict - Desert Storm II - Back to Baghdad (USA),SC-006
"Conflict - Desert Storm II (Europe) (En,Fr,De,Es,It)",SC-006
"Conflict - Global Storm (Europe) (En,Fr,De,Es,It)",SC-012
Conflict - Global Terror (USA),SC-012
"Conflict - Vietnam (Europe) (En,Fr,De,Es,It)",SC-010
Conflict - Vietnam (USA),SC-010
"Conker - Live & Reloaded (Europe) (En,Ja,Fr,De,Es,It)",MS-081
Conker - Live & Reloaded (Japan),MS-081
Conker - Live & Reloaded (USA) (Demo),MS-081
"Conker - Live & Reloaded (USA) (En,Ja,Fr,De,Es,It)",MS-081
"Conker - Live & Reloaded (USA, Europe) (Demo) (Rev 1)",MS-081
"Conspiracy - Weapons of Mass Destruction (Europe) (En,Fr,De,Es,It)",OX-001
"Constantine (Europe) (En,Fr,De,Es,It)",SC-015
Constantine (Japan),SC-015
Constantine (USA),SC-015
Corvette (USA),TM-011
"Counter Terrorist Special Forces - Fire for Effect (USA, Europe) (En,Fr,De,Es,It)",HP-002
"Counter-Strike (Europe) (En,Fr,Es,It,Ko)",MS-054
"Counter-Strike (USA) (En,Fr,Es,It,Ko)",MS-054
"Crash (Europe) (En,Fr,De,Es,It)",RA-006
Crash Bandicoot - The Wrath of Cortex (Asia),VU-003
"Crash Bandicoot - The Wrath of Cortex (Europe, Australia) (En,Fr,De,Es,It,Nl)",VV-001
Crash Bandicoot - The Wrath of Cortex (USA),VU-003
Crash Bandicoot 4 - Sakuretsu! Majin Power (Japan),KN-017
"Crash 'n' Burn (USA, Europe) (En,Fr,De,It)",ES-020
"Crash Nitro Kart (Europe) (En,Fr,De,Es,It,Nl)",VU-031
Crash Nitro Kart (USA),VU-031
"Crash Tag Team Racing (Europe) (En,Fr,De,Es,It,Nl)",VU-065
Crash Tag Team Racing (USA),VU-065
Crash Tag Team Racing (USA) (Beta) (2005-06-29),
"Crash Twinsanity (Europe) (En,Fr,De,It)",VU-054
"Crash Twinsanity (USA, Asia)",VU-054
Crazy Taxi 3 - High Roller (Japan) (Demo),SE-025
"Crazy Taxi 3 - High Roller (Japan) (En,Ja)",SE-004
Crazy Taxi 3 - High Roller (USA),SE-004
"Crazy Taxi 3 (Europe) (En,Fr,De,Es,It)",IG-035
"Crazy Taxi 3 (Germany) (En,Fr,De,Es,It)",IG-035
Cricket 2005 (Europe),EA-116
"Crime Life - Gang Wars (Europe) (En,Fr,De,Es,It)",KN-028
Crime Life - Gang Wars (USA),KN-028
"Crimson Sea (Europe) (En,Fr,De)",KO-002
Crimson Sea (USA),KO-002
"Crimson Skies - High Road to Revenge (Asia) (En,Fr,De,Zh,Ko)",MS-033
"Crimson Skies - High Road to Revenge (Europe, Australia) (En,Fr,De)",MS-033
Crimson Skies - High Road to Revenge (Japan) (Demo),MS-123
"Crimson Skies - High Road to Revenge (Japan) (En,Ja,Fr,De,Zh,Ko)",MS-033
"Crimson Skies - High Road to Revenge (USA) (En,Fr,De,Zh,Ko)",MS-033
"Crouching Tiger, Hidden Dragon (Europe) (En,Fr,De,Es,It)",US-032
"Crouching Tiger, Hidden Dragon (USA)",US-032
Crusty Demons (USA),FL-002
"CSI - Crime Scene Investigation (World) (En,Fr,De,Es,It)",US-063
Curious George (USA),NM-025
"Curse - The Eye of Isis (Europe) (En,Fr,De,Es,It,Pt)",WE-005
Curse - The Eye of Isis (USA),WE-005
"Da Vinci Code, The (USA, Europe) (En,Fr,De,Es,It)",TT-171
Dai Senryaku VII - Modern Military Tactics (USA),CK-001
Daisenryaku VII (Japan),CK-001
Dakar 2 - The World's Ultimate Rally (USA),AC-023
"Dakar 2 (Europe) (En,Fr,De,Es,It)",AC-023
Dance Dance Revolution Ultramix (USA),KN-025
"Dance Dance Revolution Ultramix 2 (USA) (En,Fr,De,Es,It)",KN-033
Dance Dance Revolution Ultramix 3 (USA),KN-041
"Dance Dance Revolution Ultramix 4 (USA) (En,Fr,Es)",KN-055
Dance-UK (UK),BB-002
Dancing Stage Unleashed (Europe),KN-029
Dancing Stage Unleashed (Europe) (Beta) (2003-07-01),
"Dancing Stage Unleashed 2 (Europe) (En,Fr,De,Es,It)",KN-033
"Dancing Stage Unleashed 3 (Europe) (En,Fr,De,Es,It)",KN-041
"Dark Summit (Europe) (En,Fr,De)",TQ-004
Dark Summit (USA),TQ-004
"Darkwatch (Europe) (En,Fr,De,Es,It)",US-092
Darkwatch (USA),CC-022
Dave Mirra Freestyle BMX 2 (Europe),AC-001
Dave Mirra Freestyle BMX 2 (USA),AC-001
"David Beckham Soccer (Europe) (En,Fr,De,Es,It)",RA-003
"Dead Man's Hand (Europe) (En,Fr,De,Es,It)",IG-064
"Dead Man's Hand (USA, Japan)",IG-039
Dead or Alive 1 Ultimate (Europe),TC-006
Dead or Alive 1 Ultimate (USA) (Beta) (2004-10-12),
"Dead or Alive 1 Ultimate (USA, Japan) (En,Ja)",TC-006
"Dead or Alive 2 Ultimate (Europe) (En,Ja,Fr,De,Es,It)",TC-006
"Dead or Alive 2 Ultimate (USA, Japan) (En,Ja)",TC-006
"Dead or Alive 3 (Europe) (En,Ja,Fr,De,Es,It)",MS-045
"Dead or Alive 3 (Japan) (En,Ja,Fr,De,Es,It)",TC-001
Dead or Alive 3 (Japan) (Taikenban),TC-001
Dead or Alive 3 (Korea),TC-001
"Dead or Alive 3 (USA) (En,Ja)",TC-001
"Dead or Alive Xtreme Beach Volleyball (Asia) (En,Ja)",TC-007
"Dead or Alive Xtreme Beach Volleyball (Europe) (En,Ja,Fr,De,Es,It)",TC-007
"Dead or Alive Xtreme Beach Volleyball (Japan) (En,Ja)",TC-007
"Dead or Alive Xtreme Beach Volleyball (USA) (En,Ja)",TC-007
"Dead to Rights (Europe) (En,Fr,De,Es,It)",EA-044
Dead to Rights (Japan),NM-005
Dead to Rights (USA),NM-005
Dead to Rights (USA) (Demo),NM-005
"Dead to Rights II (Europe) (En,Fr,Es,It)",NM-021
Dead to Rights II (USA),NM-021
Dead to Rights II (USA) (Demo),NM-021
"Deadly Skies (Europe) (En,De)",KN-002
"Deathrow (Europe) (En,Fr,De)",US-004
Deathrow (USA),US-004
"Def Jam - Fight for NY (Europe) (En,Fr)",EA-073
Def Jam - Fight for NY (USA),EA-073
Def Jam - Fight for NY (USA) (Demo),EA-103
"Defender (Europe) (En,Fr,De,Es,It)",MW-006
Defender (USA),MW-006
"Delta Force - Black Hawk Down (USA, Europe) (En,Fr,De,Es,It)",NL-002
Dennou Taisen - DroneZ (Japan),MD-003
"Desastreuses Aventures des Orphelins Baudelaire, Les - D'Apres Lemony Snicket (France)",AV-031
"Destroy All Humans! (Europe) (En,Fr,Es,It)",TQ-038
Destroy All Humans! (Germany),TQ-038
Destroy All Humans! (USA),TQ-038
"Destroy All Humans! 2 (USA, Europe) (En,Fr,De,Es,It)",TQ-262
Deus Ex - Invisible War (Europe),ES-005
"Deus Ex - Invisible War (Europe) (Fr,Es,It)",ES-005
Deus Ex - Invisible War (Germany),ES-005
Deus Ex - Invisible War (Japan),ES-005
Deus Ex - Invisible War (USA),ES-005
"Die Hard - Vendetta (Europe) (En,Fr,Es,It)",VV-041
