redump_name,serial,name,localizedName
Adidas Power Soccer 98 (USA),SLUS-00547,Adidas Power Soccer 98,
"Adidas Power Soccer International '97 (Europe) (En,Fr,De,Es,It,Nl)",SLES-00270,Adidas Power Soccer International '97,
Adlib Ouji - ...to Fuyukai na Nakama-tachi! (Japan),SLPS-03510,Adlib Ouji - ...to Fuyukai na Nakamatachi!,
Advan Racing (Japan),SLPS-01689,Advan Racing,アドバン・レーシング
Advanced Dungeons & Dragons - Iron & Blood - Warriors of Ravenloft (Europe),SLES-00386,Advanced Dungeons & Dragons - Iron & Blood - Warriors of Ravenloft,
Advanced Dungeons & Dragons - Iron & Blood - Warriors of Ravenloft (USA),SLUS-00378,Advanced Dungeons & Dragons - Iron & Blood - Warriors of Ravenloft,
Advanced Dungeons & Dragons - Iron & Blood - Warriors of Ravenloft (USA) (Demo),SLUS-00212,Advanced Dungeons & Dragons - Iron & Blood - Warriors of Ravenloft (Demo),
Advanced V.G. (Japan),SLPS-00208,Advanced V.G.,アドヴァンストＶＧ
Advanced V.G. (Japan) (Demo),SLPM-80017,Advanced V.G. (Demo),アドヴァンストＶＧ
Advanced V.G. 2 (Japan),SLPS-01318,Advanced V.G. 2,アドヴァンストＶＧ２
Advanced V.G. 2 (Japan) (Demo),SLPM-80311,,
Adventures of Lomax + Porsche Challenge + Pandemonium + Tomb Raider + 2 Xtreme + Reloaded (France),SCED-00610,Euro Demo 06,
"Adventures of Lomax, The (USA)",SCUS-94906,The Adventures of Lomax,
Aerodive (Japan),SLPS-02367,Aerodive,エアロダイブ
Affect Taikenban Vol. 1 (Japan),SLPM-80552,Affect Taikenban Vol. 1,アフェクト　体験版　Ｖｏｌ．１
AFL 99 (Australia),SLES-01875,AFL 99,
Afraid Gear (Japan),SLPS-00995,Afraid Gear,アフレイド・ギア
Afraid Gear Another (Japan),SLPM-86834,Afraid Gear Another,アフレイドギア・アナザ
Agent Armstrong - Himitsu Shirei Daisakusen (Japan),SLPS-01073,Agent Armstrong - Himitsu Shirei Daisakusen,エージェント・アームストロング　～秘密指令大作戦～
"Agent Armstrong (Europe) (En,Fr,De,Es)",SLES-00474,Agent Armstrong,
Agile Warrior - F-111X (Europe),SLES-00124,Agile Warrior - F-111X,
Agile Warrior - F-111X (Japan),SLPS-00179,Agile Warrior - F-111X,アジャイル・ウォーリアー
Agile Warrior - F-111X (USA),SLUS-00023,Agile Warrior - F-111X,
Aging Disk (Japan),PTPX-97002,Aging Disk,
AI Mahjong 2000 (Japan),SLPS-02411,AI Mahjong 2000,ＡＩ麻雀２０００
AI Mahjong Selection (Japan),SLPM-87117,AI Mahjong Selection,ＡＩ麻雀セレクション
AI Shougi (Japan),SLPS-00109,AI Shougi,ＡＩ将棋
AI Shougi 2 (Japan),SLPS-01159,AI Shougi 2,ＡＩ将棋２
AI Shougi 2 Deluxe (Japan),SLPS-02285,AI Shougi 2 Deluxe,ＡＩ将棋２デラックス
AI Shougi Selection (Japan),SLPM-87068,AI Shougi Selection,ＡＩ将棋ＳＥＬＥＣＴＩＯＮ
Ai to Yuujou no Neko Monogatari. Jingle Cats - Love Para Daisakusen no Maki (Japan),SLPS-01409,Ai to Yuujou no Neko Monogatari. - Jingle Cats - Love Para Daisakusen no Maki,
Air Combat (Europe),SCES-00007,Air Combat,
Air Combat (Europe) (EDC),SCES-00007,Air Combat,
Air Combat (USA),SLUS-00001,Air Combat,
Air Hockey (Europe),SLES-03743,Air Hockey,
Air Hockey (USA),SLUS-01467,Air Hockey,
Air Management '96 (Japan),SLPS-00269,Air Management '96,エアー・マネジメント’９６
Air Race (Europe),SLES-00762,Air Race,
AirAssault - The Red Mercury Missions (Japan),SIPS-60005,AirAssault - The Red Mercury Missions,エア・アサルト
AirAssault - The Red Mercury Missions (Japan) (Demo),PCPX-96041,AirAssault - The Red Mercury Missions (Demo),エア・アサルト
AirGrave (Japan),SLPS-00559,AirGrave,エアグレイブ
"Aironauts (Europe) (En,Fr,De)",SLES-02137,Aironauts,
AirRace Championship (Japan),SLPS-01879,AirRace Championship,エアレース・チャンピオンシップ
"Airs, The (Japan)",SLPS-01916,The Airs,エアーズ
Aishiau Koto Shika Dekinai (Japan),SLPS-01096,Aishiau Koto Shika Dekinai,愛しあう事しかできない
Aitakute... - Your Smiles in My Heart - Oroshitate no Diary - Introduction Disc (Japan),SLPM-80162,Aitakute... - Your Smiles in My Heart - Oroshitate no Diary - Introduction Disc,あいたくて…　おろしたてのダイアリージャンル
Aitakute... - Your Smiles in My Heart (Japan) (Disc 1),SLPM-86254,Aitakute... - Your Smiles in My Heart (Disc 1),あいたくて…　～ｙｏｕｒ　ｓｍｉｌｅｓ　ｉｎ　ｍｙ　ｈｅａｒｔ～ (DISC 1)
Aitakute... - Your Smiles in My Heart (Japan) (Disc 2),SLPM-86255,Aitakute... - Your Smiles in My Heart (Disc 2),あいたくて…　～ｙｏｕｒ　ｓｍｉｌｅｓ　ｉｎ　ｍｙ　ｈｅａｒｔ～ (DISC 2)
Aitakute... - Your Smiles in My Heart (Japan) (Disc 3),SLPM-86256,Aitakute... - Your Smiles in My Heart (Disc 3),あいたくて…　～ｙｏｕｒ　ｓｍｉｌｅｓ　ｉｎ　ｍｙ　ｈｅａｒｔ～ (DISC 3)
Aitakute... - Your Smiles in My Heart (Japan) (Disc 4),SLPM-86257,Aitakute... - Your Smiles in My Heart (Disc 4),あいたくて…　～ｙｏｕｒ　ｓｍｉｌｅｓ　ｉｎ　ｍｙ　ｈｅａｒｔ～ (DISC 4)
Akagawa Jirou - Majo-tachi no Nemuri - Fukkatsusai (Japan),SLPS-01863,Akagawa Jiro - Majo Tachi no Nemuri - Fukkatsusai,
Akagawa Jirou - Yasoukyoku (Japan),SLPS-01462,,
Akagawa Jirou - Yasoukyoku (Japan),SLPS-91151,,
Akagawa Jirou - Yasoukyoku (Japan),SLPS-91503,Akagawa Jiro - Yasoukyoku,
Akagawa Jirou - Yasoukyoku (Japan) (Shokai Genteiban),SLPS-01415,Akagawa Jiro - Yasoukyoku (Shokai Genteiban),
Akagawa Jirou - Yasoukyoku 2 (Japan),SLPS-03213,Akagawa Jiro - Yasoukyoku 2,
Akazu no Ma (Japan),SLPS-00619,Akazu no Ma,あかずの間
"Akuji the Heartless (Europe) (En,Fr,De)",SLES-01298,Akuji the Heartless,
Akuji the Heartless (USA),SLUS-00715,Akuji the Heartless,
Akumajou Dracula X - Gekka no Yasoukyoku (Japan),SLPM-86023,Akumajou Dracula X - Gekka no Yasoukyoku,悪魔城ドラキュラＸ　～月下の夜想曲～
Akumajou Dracula X - Gekka no Yasoukyoku (Japan) (Rev 1),SLPM-86023,Akumajou Dracula X - Gekka no Yasoukyoku,悪魔城ドラキュラＸ　～月下の夜想曲～
Akumajou Dracula X - Gekka no Yasoukyoku (Japan) (Rev 2),SLPM-86073,Akumajou Dracula X - Gekka no Yasoukyoku,悪魔城ドラキュラＸ　～月下の夜想曲～
Akumajou Dracula X - Gekka no Yasoukyoku (Japan) (Rev 2),SLPM-87328,,
Albaria no Otome - Uruwashi no Seikishitachi (Japan),SLPS-01578,Albaria no Otome - Uruwashi no Seikishitachi,アルバレアの乙女　～麗しの聖騎士たち～
Alex Ferguson's Player Manager 2001 (Europe),SLES-03150,Alex Ferguson's Player Manager 2001,
Alex Ferguson's Player Manager 2002 (Europe),SLES-03775,Alex Ferguson's Player Manager 2002,
Alexandra Ledermann 2 - Equitation Competition (France),SLES-03290,Alexandra Ledermann 2 - Equitation Competition,
"Alexi Lalas International Soccer (USA) (En,Fr,De,Es,It)",SLUS-00872,Alexi Lalas International Soccer,
Alfred Chicken (Europe) (Beta) (2001-12-03),SLES-12345,Alfred Chicken (Proto),
Alfred Chicken (Europe) (Beta) (2002-02-07),SCES-03817,Alfred Chicken,
"Alfred Chicken (Europe) (En,Fr,De,Es,It)",SCES-03817,Alfred Chicken,
Alice in Cyberland (Japan),SLPS-00636,Alice in Cyberland,ありす　イン　サイバーランド
"Alien Resurrection (Europe) (En,Fr,De,Es,It)",SLES-02913,Alien Resurrection,
Alien Resurrection (USA),SLUS-00633,Alien Resurrection,
"Alien Trilogy (Europe) (En,Fr,Es,It)",SLES-00101,Alien Trilogy,
Alien Trilogy (France) (Demo),SLES-00288,Alien Trilogy (Demo),
Alien Trilogy (Germany),SLES-00246,Alien Trilogy,
Alien Trilogy (Japan),SLPS-00332,Alien Trilogy,エイリアン・トリロジー
Alien Trilogy (USA),SLUS-00007,Alien Trilogy,
Alive (Japan) (Disc 1),SLPS-01527,Alive (Disc 1),アライブ (DISC 1)
Alive (Japan) (Disc 2),SLPS-01528,Alive (Disc 2),アライブ (DISC 2)
Alive (Japan) (Disc 3),SLPS-01529,Alive (Disc 3),アライブ (DISC 3)
All Music Dance! (Italy),SLES-04162,All Music Dance!,
All Star Action (Europe) (Disc 1),SLES-04107,All Star Action (Disc 1),
All Star Action (Europe) (Disc 2),SLES-14107,All Star Action (Disc 2),
All Star Boxing (Europe),SLES-03958,All Star Boxing,
All Star Racing (Europe),SLES-03740,All Star Racing,
All Star Racing (USA),SLUS-01460,All Star Racing,
