No-Intro Name,Hardware,Copyright Date,Domestic Title,Overseas Title,Type,Product No.,Version,Checksum,Region,SHA256
Aladdin (USA) (Final Cut),SEGA GENESIS,(C)SEGA 1993.AUG,ALADDIN-REMIX,ALADDIN-REMIX,GM,MK-1058,0,27578 (0x6BBA),U,e18516722c0ff3466bf6f4d0c1092cc4bdab926c846db37876394ac300849b65
Aladdin (World) (Disney Classic Games),SEGA GENESIS,(C)SEGA 1993.AUG,ALADDIN,ALADDIN,GM,MK-1058,0,20346 (0x4F7A),U,5395305ead6ed408c5dd604f378b31d8d1f64d2da87b669438b80ecb0f7d26f0
Aladdin (World) (Ja) (Disney Classic Games),SEGA MEGA DRIVE,(C)SEGA 1993.AUG,ALADDIN,ALADDIN,GM,G-4111,0,40114 (0x9CB2),J,50dadf0cd00f8dd0da70c3672501c34fff8d585205099b9027c530e67523279c
Alex Kidd - Cheongong Maseong (Korea),SEGA MEGA DRIVE,(C)SEGA 1989.NOV,アレクスキッド  天空魔城,ALEX KIDD IN THEENCHANTED CASTLE,GM,00054004-02,(unknown),13401 (0x3459),U,c5beb64c5f710a145670a5fe136533b72432a5ae26c836b0f30a40b50da21500
Alex Kidd - Tenkuu Majou (Japan),SEGA MEGA DRIVE,(C)SEGA 1988.DEC,アレクスキッド  天空魔城,アレクスキッド  天空魔城,GM,00054004-00,(unknown),27850 (0x6CCA),(unknown),bd412e0c8861db976e3ed7ded7389080e54fc29895e4325295297786fdac519e
Alex Kidd in the Enchanted Castle (Europe),SEGA MEGA DRIVE,(C)SEGA 1989.NOV,アレクスキッド  天空魔城,ALEX KIDD IN THEENCHANTED CASTLE,GM,00054004-02,(unknown),13401 (0x3459),U,2350db9a337486a673dcc82e6ca9885dc47793759b5ca884607448bd0259a948
Alex Kidd in the Enchanted Castle (USA),SEGA MEGA DRIVE,(C)SEGA 1989.FEB,アレクスキッド  天空魔城,ALEX KIDD IN THEENCHANTED CASTLE,GM,00054004-01,(unknown),54225 (0xD3D1),JU,451a3cde30a36eb6b3449139f8af8ffddae4cbb73017e0c28ce09c2791e7aa7b
"Alien 3 (USA, Europe)",SEGA GENESIS,(C)T-81 1980.JAN,ALIEN 3,ALIEN 3,GM,T-081096,0,39288 (0x9978),JUE,03912aff49000f3ecb735f458a638696856379ef7e98b8fa8723d6cfdaef45e5
"Alien 3 (USA, Europe) (Rev A)",SEGA GENESIS,(C)T-81 1992.OCT,ALIEN 3,ALIEN 3,GM,T--81096,1,26629 (0x6805),UE,82855025bc29a4503ff4be0febf00168b2a968ec75d41094cb58087f3aa4bdac
Alien Soldier (Europe),SEGA MEGA DRIVE,(C)SEGA 1995.FEB,ALIEN SOLDIER,ALIEN SOLDIER,GM,MK-01186-00,(unknown),42539 (0xA62B),A,afd4642f78ee1ae3004d630b1228e54a6e51e5dc7a991e1c192d91a41f366f71
Alien Soldier (Japan),SEGA MEGA DRIVE,(C)SEGA 1995.FEB,ALIEN SOLDIER,ALIEN SOLDIER,GM,G-004130-00,(unknown),33615 (0x834F),B,5613637d267cf8d0bf3ff1e396d7929526cd5221cb8af06349528c8bedced1a0
Alien Soldier (USA) (Virtual Console),SEGA MEGA DRIVE,(C)SEGA 1995.FEB,ALIEN SOLDIER,ALIEN SOLDIER,GM,MK-01186-00,(unknown),42539 (0xA62B),U,8637b08e68003de126324be3153e30ecfc09c9fac4908d57eb989dd205e2a6b4
"Alien Soldier (USA, Europe) (Switch Online)",SEGA MEGA DRIVE,(C)SEGA 1995.FEB,ALIEN SOLDIER,ALIEN SOLDIER,GM,MK-01186-00,(unknown),41259 (0xA12B),A,9b72449d9815ab1638936c440a953d1139678c2de991b001418bad2c2345b314
Alien Storm (World),SEGA MEGA DRIVE,(C)SEGA 1991.JUN,エイリアンストーム,ＡＬＩＥＮＳＴＯＲＭTM,MK,00001121-00,(unknown),43701 (0xAAB5),JUE,d96bec6f16889a9cc313a1eb9e31e12022547ff6c9cceb2129db9f4adf38357e
Alien Storm (World) (SEGA Classic Collection),SEGA MEGA DRIVE,(C)SEGA 1991.JUN,エイリアンストーム,ＡＬＩＥＮＳＴＯＲＭTM,MK,00001121-00,(unknown),43701 (0xAAB5),JUE,fec4e19e75da256f8eaca3dd7d7432953c6f274eeca4030697c05811788faf8f
Alisia Dragoon (Europe),SEGA MEGA DRIVE,(C)T-45 1992.MAR,ALISIA DRAGOON,(unknown),GM,T-45033,0,3969 (0x0F81),JU,0930b77d0474e99c10690245cac12a6618b6c16420e3575379aba6e715ea797a
Alisia Dragoon (Japan),SEGA MEGA DRIVE,(C)T-45 1992.MAR,ALISIA DRAGOON,(unknown),GM,T-45033,0,33704 (0x83A8),JU,50347db2816ede192057c121b914d4632d7f96c53a48a25dae3a70a73741a3e8
Alisia Dragoon (Japan) (Mega Drive Mini),SEGA MEGA DRIVE,(C)T-45 1992.MAR,ALISIA DRAGOON,(unknown),GM,T-45033,0,33704 (0x83A8),JU,a46db20aa49256ded03ebabb318ca2dc3d63e123a8ce33d7bd72eca10ef37c02
Alisia Dragoon (USA),SEGA MEGA DRIVE,(C)T-45 1992.MAR,ALISIA DRAGOON,(unknown),GM,T-45033,0,38314 (0x95AA),JU,cb4e9c98de5a048ccdddf03bcfa5d8aad678c2399f4c5651075009c59836ffd2
Alisia Dragoon (USA) (Genesis Mini),SEGA MEGA DRIVE,(C)T-45 1992.MAR,ALISIA DRAGOON,(unknown),GM,T-45033,0,38314 (0x95AA),JU,0fad6ed1eb698d50c2b8b72a86066d4c719e37d53cff3c09523eb463b8f292b0
"Altered Beast (Japan, USA) (En) (Rev A)",SEGA MEGA DRIVE,(C)SEGA 1989.JAN,獣王記,獣王記,GM,00054002-01,(unknown),436 (0x01B4),JU,d3362f04ec9b805c57408999c8f572e5b40ab4550a0a64538b5e9783e5da86a1
"Altered Beast (Japan, USA) (En) (Sega 3D Classics Collection)",SEGA MEGA DRIVE,(C)SEGA 1989.JAN,獣王記,獣王記,GM,00054002-01,(unknown),436 (0x01B4),JU,feec1cd4fab814f6cd78877ba9e9c3d61fa4d5599dff89b665e1b83e67f4b91f
"Altered Beast (USA, Europe)",SEGA MEGA DRIVE,(C)SEGA 1989.JAN,獣王記,ALTERD BEAST,GM,00054002-02,(unknown),59547 (0xE89B),JU,cbe8baeab2efe531a674f53bfddd0c7944cfe2dcda6446ef300f98254f8e80bc
"Altered Beast (USA, Europe) (Sega 3D Classics Collection)",SEGA MEGA DRIVE,(C)SEGA 1989.JAN,獣王記,ALTERD BEAST,GM,00054002-02,(unknown),59547 (0xE89B),JU,b2c4ae3614783e8862638b314c0db742388184b612fc54080bd30ac5a63e4d05
American Gladiators (USA),SEGA GENESIS,(C)T-83 1992.SEP,AMERICAN GLADIATORS,AMERICAN GLADIATORS,GM,T-83056,0,9080 (0x2378),U,0c5e5d3c4c75f38c314f19b62193a1e66a3c5adf1c2ffafb38ef83ac668ac01a
Anaconda (Brazil) (Mega Drive 4),SEGA MEGA DRIVE,(C)DEVWORKS 2005,JogosDevworks,JogosDevworks,GM,00000000-00,(unknown),42491 (0xA5FB),UEJ,bebf252cb735b70ebdb518a24ea6fcf00ed826c2e4753c691e4d819464993bee
Andre Agassi Tennis (Europe),SEGA GENESIS,(C)SEGA 1993.JAN,ANDRE AGASSI TENNIS,ANDRE AGASSI TENNIS,GM,T-101016-01,(unknown),51912 (0xCAC8),JE,f3171b9c9dea5b4a9a2bdaec1ac6e39fd71e02fa786001e7e355155b686b1760
