No-Intro Name,Hardware,Copyright Date,Domestic Title,Overseas Title,Type,Product No.,Version,Checksum,Region,SHA256
Snow Bros. - Nick & Tom (Japan),SEGA MEGA DRIVE,(C)T-48 1993.MAY,SNOW BROS.,SNOW BROS.,GM,T-48083,0,65535 (0xFFFF),JUE,f95451a5c0e1511a1c372df0bd49db75a3e3a66f0b6395e3aa562e13a6bc3172
Socket (USA),SEGA GENESIS,(C)T-23 1993.JUL,TIME DOMINATOR,SOCKET,GM,T-23046,0,3679 (0x0E5F),JUE,7600e03f636c4576d6b8a33b3333989960d1e1c1f8fc5be43e55aa1d4c4cc853
Sol-Deace (USA),SEGA MEGA DRIVE,(C)T-32 1992.MAR,SOL-FEACE,SOL-DEACE,GM,T-49206,(unknown),26527 (0x679F),U,7bb786d542620914065d0d4fa5af9bcba861e2e1bad74947159af5fb62448442
Sol-Deace (USA) (1992-02-03) (Sega Channel),SEGA MEGA DRIVE,(C)T-32 1992.MAR,SOL-FEACE,SOL-DEACE,GM,T-49206,(unknown),57154 (0xDF42),U,8f3a39f8929c5ad08214903c662a73cf268c1cb335c44910adcbda0cbc688619
Soldiers of Fortune (USA),SEGA GENESIS,(C)T-1241993.SEP,SOLDIERS OF FORTUNE,SOLDIERS OF FORTUNE,GM,T-124016-00,(unknown),15785 (0x3DA9),U,6566228d5f6b51d51d25ba3ee53ab4be2a273d424508b7a93cdad68b8f4ba54e
Soleil (Europe),SEGA MEGA DRIVE,(C)SEGA 1994.SEP,SOLEIL,SOLEIL,GM,MK-01182-00,(unknown),3143 (0x0C47),E,68f738232cf01df97237c71e9a079caac24337379c688718727f30978bf68589
Soleil (France),SEGA MEGA DRIVE,(C)SEGA 1994.OCT,SOLEIL,SOLEIL,GM,MK-01182-00,(unknown),45990 (0xB3A6),E,5a276d126715b6a1745a7d53da77cf52d0ff6f25b8febc34e2563b6d2b3430e3
Soleil (Germany),SEGA MEGA DRIVE,(C)SEGA 1994.OCT,SOLEIL,SOLEIL,GM,MK-01182-00,(unknown),31259 (0x7A1B),E,1197ac7422a59c14113e46da075971a305092e11e49fc61a90e37bb73d029c8b
Soleil (Spain),SEGA MEGA DRIVE,(C)SEGA 1994.OCT,SOLEIL,SOLEIL,GM,MK-01182-00,(unknown),39032 (0x9878),E,640cb88888919fb5674731d44ce9591432201aee508568c44e3f09d41b2b57d3
Sonic & Knuckles (World),SEGA GENESIS,(C)SEGA 1994.JUN,SONIC & KNUCKLES,SONIC & KNUCKLES,GM,MK-1563,0,57267 (0xDFB3),JUE,6e12e6b33c26ebfcd0be433251d21cf6284eafe9f71b027bda3767ae59affec1
Sonic & Knuckles (World) (Lock-on),QÏÿö`þNqHçÿþJ8ö*,gr09À@gô,#ü@À#øöÀ8ÿØg0<QÈÿþ8ö*üö*1ü,öD@>0;N»R¸þLßÿNsú úÄ,ê,ê8ög88,(unknown),140 (0x008C),9,e184f5982a99c6ebf7799383f16a8624221755786056a3573944598283a4b8cf
Sonic & Knuckles (World) (Sonic Classic Collection),SEGA GENESIS,(C)SEGA 1994.JUN,SONIC & KNUCKLES,SONIC & KNUCKLES,GM,MK-1563,0,52729 (0xCDF9),JUE,1ab6bfef9d54ce2771b95e1d09198bc3dec1119752ff57eb345d54b750e81887
"Sonic & Knuckles + Sonic The Hedgehog (Japan, Korea) (En) (Lock-on Combination)",SEGA GENESIS,(C)SEGA 1994.JUN,SONIC & KNUCKLES,SONIC & KNUCKLES,GM,MK-1563,0,57267 (0xDFB3),JUE,8615d48501d214b4cfb5be88867236115518791eba896f458d84e4ef32a90b9f
"Sonic & Knuckles + Sonic The Hedgehog (USA, Europe) (Lock-on Combination)",SEGA GENESIS,(C)SEGA 1994.JUN,SONIC & KNUCKLES,SONIC & KNUCKLES,GM,MK-1563,0,57267 (0xDFB3),JUE,787cf4c930670f8b3eed36c6a5a6410280246f05e78a15ef54ed3eda86ac9ca1
Sonic & Knuckles + Sonic The Hedgehog 2 (World) (Rev A) (Lock-on Combination),SEGA GENESIS,(C)SEGA 1994.JUN,SONIC & KNUCKLES,SONIC & KNUCKLES,GM,MK-1563,0,57267 (0xDFB3),JUE,3da827d319a60b6180e327c37e1fe5d448746c1644cce01ada1f2788d1e182f4
Sonic & Knuckles + Sonic The Hedgehog 2 + Sonic The Hedgehog 3 (World) (Virtual Console),SEGA GENESIS,(C)SEGA 1994.JUN,SONIC & KNUCKLES,SONIC & KNUCKLES,GM,MK-1563,0,57267 (0xDFB3),JUE,803151d68301df366f66e8bba1ded70a228089476c4a911ba21cce3fa17cd618
Sonic & Knuckles + Sonic The Hedgehog 3 (Europe) (Lock-on Combination),SEGA GENESIS,(C)SEGA 1994.JUN,SONIC & KNUCKLES,SONIC & KNUCKLES,GM,MK-1563,0,57267 (0xDFB3),JUE,9cc2316eddbc874840b4913f53618a826f12c0d5ed48149855b19422231e4496
Sonic & Knuckles + Sonic The Hedgehog 3 (Japan) (En) (Lock-on Combination),SEGA GENESIS,(C)SEGA 1994.JUN,SONIC & KNUCKLES,SONIC & KNUCKLES,GM,MK-1563,0,57267 (0xDFB3),JUE,fa52ac946dfd576538d00aa858b790b9d81a1217e25aa5193693a4e57f4f89d9
Sonic & Knuckles + Sonic The Hedgehog 3 (USA) (Lock-on Combination),SEGA GENESIS,(C)SEGA 1994.JUN,SONIC & KNUCKLES,SONIC & KNUCKLES,GM,MK-1563,0,57267 (0xDFB3),JUE,fba0677fde9f76df93f3e98d6310d8af68b9847bde16e253d73cd4dd8134ed23
Sonic 3 (Europe),SEGA GENESIS,(C)SEGA 1993.NOV,SONIC THE             HEDGEHOG 3,SONIC THE             HEDGEHOG 3,GM,MK-1079,0,43250 (0xA8F2),E,9a2a9a93cdb906628a9dafe6e0e16b2f5505498be12de46b43e69a60d291fc69
"Sonic 3D Blast (USA, Europe, Korea) (En)",SEGA GENESIS,(C)SEGA 1996.SEP,SONIC 3D BLAST,SONIC 3D FLICKIES' ISLAND,GM,MK-1844,0,43316 (0xA934),F,2de28ad6e4b084fb41e4a6ba2a19fceba675ea154c770630b0d5ffea4ce31aa0
Sonic Compilation (Europe),SEGA MEGA DRIVE,(C)SEGA 1995.Jun,SONIC COMPILATION,SONIC COMPILATION,GM,MK-1190,(unknown),37355 (0x91EB),A,78bd9a48bc2c4a4ef09c8a0e1814dfde9013d4e6fe42c1e6ce9b94bdc142def2
"Sonic Compilation (USA, Europe, Korea) (En) (Rev A)",SEGA MEGA DRIVE,(C)SEGA 1997.Jan,SONIC COMPILATION,SONIC COMPILATION,GM,MK-1190,1,31066 (0x795A),F,3bbd0399213a9b8dec30e266f4b3bd7ea31ef22e2f555e388e8446a6ba977aaa
Sonic Eraser (Japan) (SegaNet),SEGA MEGA DRIVE,(C)SEGA 1989.OCT,SEGANET GAME,SEGANET GAME,GM,00054503-00,(unknown),37789 (0x939D),J,4091d4adc4aa16bc74e06c10c41dfd0cc91d531ff325e49aae2a1fbd982c052e
Sonic Spinball (Europe),SEGA MEGA DRIVE,(C)SEGA 1993.SEP,Sonic Spinball,Sonic Spinball,GM,MK-1537,0,31070 (0x795E),E,85e08b7f61a89be3ea2987ca54ba91b92e51a3875ffabd459cce28fa1b2d47d6
Sonic Spinball (Europe) (Mega Drive Mini),SEGA MEGA DRIVE,(C)SEGA 1993.SEP,Sonic Spinball,Sonic Spinball,GM,MK-1537,0,31070 (0x795E),E,8cc844cd9c1e117f3ad0beb035724d6b5f3762c3cab540347808006996634074
Sonic Spinball (Japan),SEGA MEGA DRIVE,(C)SEGA 1993.SEP,Sonic Spinball,Sonic Spinball,GM,G-4112,0,14290 (0x37D2),J,38aeb261e78410fa8efddecd71f6196f77fb348f3ec280bfb9fd22ae5207a3e8
Sonic Spinball (USA),SEGA GENESIS,(C)SEGA 1993.SEP,Sonic Spinball,Sonic Spinball,GM,MK-1537,0,10815 (0x2A3F),U,d64c3c6c8439e5e5fb899122025321bb3f33c7d343facfc21b93f0c62ca2dc16
Sonic Spinball (USA) (1993-09-22) (Sega Channel),SEGA GENESIS,(C)SEGA 1993.SEP,Sonic Spinball,Sonic Spinball,GM,MK-1537,0,10815 (0x2A3F),U,1caa24ee491b855d4f686119cc4370afdda8fe0ffcdb6374b61283e4612a4dd9
"Sonic The Hedgehog (Japan, Europe, Korea) (En)",SEGA MEGA DRIVE,(C)SEGA 1991.APR,SONIC THE               HEDGEHOG,SONIC THE               HEDGEHOG,GM,00004049-01,(unknown),44999 (0xAFC7),JUE,1b7f6635bd713f37f3c2f44f302b872c2e3c5f56e63637918dad4637146900fd
"Sonic The Hedgehog (USA, Europe)",SEGA MEGA DRIVE,(C)SEGA 1991.APR,SONIC THE               HEDGEHOG,SONIC THE               HEDGEHOG,GM,00001009-00,(unknown),9802 (0x264A),JUE,46160baa06362c711c9f1a5017cb7371026444936c8af5e93a78996cf32ff2a6
"Sonic The Hedgehog (USA, Europe) (Sonic Classic Collection)",SEGA MEGA DRIVE,(C)SEGA 1991.APR,SONIC THE               HEDGEHOG,SONIC THE               HEDGEHOG,GM,00004049-01,(unknown),14669 (0x394D),JUE,dda5114a707897b87753d3b50a3681738b1317ed4f3378b094466408bfbe8ad0
Sonic The Hedgehog (World) (Sonic Mega Collection),SEGA MEGA DRIVE,(C)SEGA 1991.APR,SONIC THE               HEDGEHOG,SONIC THE               HEDGEHOG,GM,00004049-01,(unknown),12188 (0x2F9C),JUE,94a5379fa0bd6760cb0606b77f705a85b6af1724da99e8c765b34ba2ab825e1a
Sonic The Hedgehog 2 (World),SEGA GENESIS,(C)SEGA 1992.SEP,SONIC THE             HEDGEHOG 2,SONIC THE             HEDGEHOG 2,GM,00001051-00,(unknown),57016 (0xDEB8),JUE,07329f4561044a504923eb0742894485c61fc42ebb0891eebff247ca2e086d61
Sonic The Hedgehog 2 (World) (Rev A),SEGA GENESIS,(C)SEGA 1992.SEP,SONIC THE             HEDGEHOG 2,SONIC THE             HEDGEHOG 2,GM,00001051-01,(unknown),55633 (0xD951),JUE,193bc4064ce0daf27ea9e908ed246d87ec576cc294833badebb590b6ad8e8f6b
Sonic The Hedgehog 2 (World) (Rev A) (Sonic Classic Collection),SEGA GENESIS,(C)SEGA 1992.SEP,SONIC THE             HEDGEHOG 2,SONIC THE             HEDGEHOG 2,GM,00001051-01,(unknown),9723 (0x25FB),JUE,cfa21bfa47d3a20d92e978299c9e570214bf2578705fb0e951b4de3723bda49a
Sonic The Hedgehog 2 (World) (Rev A) (Sonic Mega Collection),SEGA GENESIS,(C)SEGA 1992.SEP,SONIC THE             HEDGEHOG 2,SONIC THE             HEDGEHOG 2,GM,00001051-01,(unknown),55761 (0xD9D1),JUE,14a348f411cc3d9f42496c74740279de8d3415dea7782ee6025f772f95fc9cc5
Sonic The Hedgehog 2 (World) (Rev B),SEGA GENESIS,(C)SEGA 1992.SEP,SONIC THE             HEDGEHOG 2,SONIC THE             HEDGEHOG 2,GM,00001051-02,(unknown),37355 (0x91EB),JUE,568e5e9557c4c1ef67305fcda429ce503149144e80de6f9aba80e709a8fcde66
"Sonic The Hedgehog 3 (Japan, Korea) (Ja)",SEGA GENESIS,(C)SEGA 1993.NOV,SONIC THE             HEDGEHOG 3,SONIC THE             HEDGEHOG 3,GM,MK-1079,0,43250 (0xA8F2),J,f3314b3603fa717cbfecacab3e4b39e03a130d61d058d53fa0acceed17b07012
Sonic The Hedgehog 3 (USA),SEGA GENESIS,(C)SEGA 1993.NOV,SONIC THE             HEDGEHOG 3,SONIC THE             HEDGEHOG 3,GM,MK-1079,0,43250 (0xA8F2),U,d6404843c5ba32486f4c8c744acb7e1932069376960d886b1de37969787d3f9c
Sonic The Hedgehog 3 (USA) (1993-11-20) (Sega Channel),SEGA GENESIS,(C)SEGA 1993.NOV,SONIC THE             HEDGEHOG 3,SONIC THE             HEDGEHOG 3,GM,MK-1079,0,43250 (0xA8F2),U,426b1d52bd0637d61480dc5cbc7362e1a4e401472e83fbfabe38d8f38d20a708
Sonic The Hedgehog 3 (USA) (Sonic Classic Collection),SEGA GENESIS,(C)SEGA 1993.NOV,SONIC THE             HEDGEHOG 3,SONIC THE             HEDGEHOG 3,GM,MK-1079,0,37797 (0x93A5),U,471f125ffb940c029100ae8ea0cd80066142e51823dbe7137ceac4647d6f5ed7
Sorcer Kingdom (Japan),SEGA MEGA DRIVE,(C)NCS_1992.JAN,SORCER KINGDOM,SORCER KINGDOM,GM,T-25113,0,47351 (0xB8F7),J,63d99751e0a5212f8a82f3e6a7885f0780a286d961db798fc032fb784e8a8b65
Sorcerer's Kingdom (USA),SEGA GENESIS,(C)T-24 1993.AUG,SORCER KINGDOM,SORCERER_S KINGDOM,GM,T-24076,1,45910 (0xB356),U,f8002ecd74d35613cd2a2a28340cce8ad15696362bbbe5e1c934d022db363f23
Sorcerian (Japan),SEGA MEGA DRIVE,(C)SEGA 1989.DEC,** SORCERIAN **,** SORCERIAN **,GM,00054504-00,(unknown),19609 (0x4C99),J,a8a309a6b03a8c1d4a17b5d809d7ecf56c5a1b2188e2388038797ad632d985c6
Sorcerian (Japan) (Rev 1) (Virtual Console),SEGA MEGA DRIVE,(C)SEGA 1990.APR,** SORCERIAN **,** SORCERIAN **,GM,00054504-01,(unknown),40687 (0x9EEF),J,25bcd5f235f4d074d1b48110482895089a4363dcea693cde3f23a84fd6112cfb
Space Funky B.O.B. (Japan),SEGA MEGA DRIVE,(C)T-50 1993.NOV,SPACE FUNKY B.O.B.,B.O.B.,GM,T-106193-00,(unknown),4737 (0x1281),JU,5be1dff013b09ac1ec425818eb1eb57945e3dd002da28940caf834e9993b3f39
Space Harrier II (Japan) (Launch Cart),SEGA MEGA DRIVE,(C)SEGA 1988.AUG,SPACE HARRIER II,SPACE HARRIER II,GM,00004002-00,(unknown),59824 (0xE9B0),(unknown),77cc8cb6e7d21eaaadee7b80b44cb4130a4b9541d47352320b80bb4f456672d0
Space Harrier II (World),SEGA MEGA DRIVE,(C)SEGA 1989.JAN,SPACE HARRIER II,SPACE HARRIER II,GM,00004002-01,(unknown),14199 (0x3777),JU,356beab7e21e63b3e23e3619110e63742993d6f91e307c7cce9c02139708bcbe
Space Invaders 90 (Japan),SEGA MEGA DRIVE,(C)T-11 1990.JUN,SPACE INVADERS 90,(unknown),GM,T-11053,0,12950 (0x3296),J,d8fd0ab8a7bffd5743b598928148bd625c81bc8f10c525db6c77444a7fa23881
Space Invaders '91 (USA),SEGA MEGA DRIVE,(C)T-11 1990.NOV,SPACE INVADERS 90,SPACE INVADERS 91,GM,T-11036,0,12782 (0x31EE),U,001e9dfa16433c16ea6ca4a405140f007eee3ea7197257a51dc46afaa1de0171
Sparkster - Rocket Knight Adventures 2 (Japan),SEGA MEGA DRIVE,(C)T-95 1994.SEP,SPARKSTER,SPARKSTER,GM,T-95103-00,(unknown),51401 (0xC8C9),J,e04d5899814457e9ed4c35f079d4bbcb1a65f3721220c3b36c46a120983abc10
Sparkster (Europe),SEGA MEGA DRIVE,(C)T-95 1994.SEP,SPARKSTER,SPARKSTER,GM,T-95166-00,(unknown),23279 (0x5AEF),E,26a070561645e7c7e08bbf5819f5670e7e2fe2bc0de858a25f88a12e14c250cd
Sparkster (USA),SEGA GENESIS,(C)T-95 1994.SEP,SPARKSTER,SPARKSTER,GM,T-95166-00,(unknown),51401 (0xC8C9),UJ,294a86923ca3aaeabcd8edcf27e428b7ace30d6774937e6db83563d80932b654
"Spatter (USA, Europe) (Mega Drive Mini 2, Genesis Mini 2)",SEGA MEGA DRIVE,(C)2022 SEGA/M2,TRICYCLE SAN - SANRIN SANCHAN,SPATTER,GM,T-000000-00,(unknown),11400 (0x2C88),JU,8318f5a93176c5dac1a286595910d2bf739f37d468bb810fb6752a6e86cac97f
Speedball 2 - Brutal Deluxe (USA),SEGA GENESIS,(C)T-69 1991.JUN,SPEEDBALL 2 - BRUTAL DELUXE,SPEEDBALL 2 - BRUTAL DELUXE,GM,T-69026,0,19600 (0x4C90),JU,45662bada0faceb2a70ad545ab74e698634f8e12259ce2f5168cb34ff57341d7
Speedball 2 (Europe),SEGA MEGA DRIVE,(C)T-70 1992.APR,SPEEDBALL 2 - BRUTAL DELUXE,SPEEDBALL 2 - BRUTAL DELUXE,GM,T-70086,0,23397 (0x5B65),E,3179ba680038bc1231f42271531030216e836f93b96bd330ef96ba587405e6dd
Speedball 2 (Japan),SEGA MEGADRIVE,(C)T-68 1992.APR,SPEEDBALL 2 - BRUTAL DELUXE,SPEEDBALL 2 - BRUTAL DELUXE,GM,T-68023,0,48110 (0xBBEE),J,e993ec42e30c139c8cb7e29a20aca41982ff29d464747bd616f65272efc2f8e4
"Spider-Man (USA, Europe) (Acclaim)",SEGA GENESIS,(C)T-81 1995.JAN,SPIDERMAN,SPIDERMAN,GM,T-81436-00,(unknown),276 (0x0114),JUE,c22c1b2e51dd8ab77c6da1b90c33b307ad88808eb007934171e39ffa12630cb0
Spider-Man (World) (Sega),SEGA GENESIS,(C)SEGA 1991.APR,SPIDER-MAN,SPIDER-MAN,GM,MK-1016,0,60049 (0xEA91),U,74a8ec0c28c6399b793ee49b69f4b4ce7205325484414bcf35d6d4dd8825bc8d
Spider-Man . Venom - Maximum Carnage (World),SEGA GENESIS,(C)T-81 1994.AUG,MAXIMUM CARNAGE,MAXIMUM CARNAGE,GM,T-081256,0,35832 (0x8BF8),JUE,7fa9b45511fa1d54084dd3bfbe87dc77288e18376a0afc3c37bb9782ac1e3511
Spider-Man X-Men - Arcade's Revenge (Europe),SEGA MEGA DRIVE,(C)T-81 1993.JUN,SPIDER-MAN/X-MEN ARCADES REVENGE,SPIDER-MAN/X-MEN ARCADES REVENGE,GM,T-081136,0,20629 (0x5095),E,f9db002b2620e735f7305825540ae52fdf2de9881db0eab97a6d19999349308b
"Spider-Man X-Men - Arcade's Revenge (USA, Europe)",SEGA GENESIS,(C)T-81 1993.JUN,SPIDER-MAN/X-MEN ARCADES REVENGE,SPIDER-MAN/X-MEN ARCADES REVENGE,GM,T-081136,0,20629 (0x5095),U,17af8a58e549a990a282289e5bad1375b8d64ff01d696348fe6d26007b80ca2d
"Spirou (Europe) (En,Fr,De,Es)",SEGA MEGA DRIVE,(C)T-15.1995.MAR,SPIROU,SPIROU,GM,T-151026-00,(unknown),39453 (0x9A1D),E,329c4eab7d2dc782883aec4ec5a357ceb38b7e210083f06f3f18c7fa837fd3ba
Splatterhouse 2 (Europe),SEGA GENESIS,(C)T-14 1992.MAR,SPLATTER HOUSE PART 2,SPLATTER HOUSE 2,GM,MK-1061,0,62126 (0xF2AE),E,70eff7052836558c05b02c821b2d75ddd1a38113f4154adf37ef16fd0ca0133b
Splatterhouse 2 (USA),SEGA GENESIS,(C)T-14 1992.MAR,SPLATTER HOUSE PART 2,SPLATTER HOUSE 2,GM,T-14076,0,33261 (0x81ED),U,d1971413ece9b7b8b5de8589c83bb18695710cef31134010fb117ecf85fb3ea7
Splatterhouse 2 (USA) (1992-03-02) (Sega Channel),SEGA GENESIS,(C)T-14 1992.MAR,SPLATTER HOUSE PART 2,SPLATTER HOUSE 2,GM,T-14076,0,45267 (0xB0D3),U,5da1c5ccf885c601e028508effb87fd365dae2f1068d109ad703102088c5182b
Splatterhouse 3 (USA),SEGA GENESIS,(C)T-14 1993.APR,SPLATTER HOUSE PART 3,SPLATTER HOUSE 3,GM,T-14086,0,18759 (0x4947),U,8c7737912cf948a606a683e32f4b6a0a4303215cdc99b39fbc5976c196c45710
Splatterhouse Part 2 (Japan),SEGA MEGA DRIVE,(C)T-14 1992.MAR,SPLATTER HOUSE PART 2,SPLATTER HOUSE 2,GM,T-14143,0,62227 (0xF313),J,5fea1aa4f31491d159de4a85d17a74b3e4a62e95351d3b1dddca28301dea93cd
"Splatterhouse Part 3 (Japan, Korea) (Ja)",SEGA MEGA DRIVE,(C)T-14 1992.DEC,SPLATTER HOUSE PART 3,SPLATTER HOUSE 3,GM,T-14163,0,46409 (0xB549),J,5711073c57dcbd999cb89a74fe1aee0662ba147f10d7db9b52656dfa2e822220
Sport Games (Brazil) (En),SEGA GENESIS,(C)T-30 1990.AUG,ＳＵＰＥＲ　Ｖｏｌｌｅｙ　ｂａｌｌ,SUPER Volley ball,GM,T-30016,0,30680 (0x77D8),U,6161c5c0ae79198443809f9210fc9be3d0f27de46ce3d4c54e9756241011c70f
Sports Talk Baseball (USA),SEGA MEGA DRIVE,(C)SEGA 1992.FEB,(unknown),MLBPA SPORTS TALK BASEBALL,MK,00001211-00,(unknown),47417 (0xB939),U,553eb97741c52e2c3ce668960c1f70231514f7fa3532f7cadcf370bb28ff1efe
Spot Goes to Hollywood (Europe),SEGA MEGA DRIVE,(C)T-70 1995.NOV,SPOT GTH,SPOT GTH,GM,T-70326,0,60500 (0xEC54),E,1a0d12cffa2f92e41b9a3aeef2f0ea63516d446a9ad7e466350b076ca28fa22c
Spot Goes to Hollywood (USA),SEGA GENESIS,(C)T-81 1995.OCT,SPOT GTH,SPOT GTH,GM,T-81616,1,10316 (0x284C),4,39d87a624067000c8c84e08d88d29f6e9acd70a5ddfd52b7981ab98a9977c5d2
Star Cruiser (Japan),SEGA MEGA DRIVE,(C)T-25 1990/SEP,STAR CRUISER/MD,STAR CRUISER/MD,GM,T-25063,0,10124 (0x278C),J,662a3f4c1ae358a208dea139eb2ff4c9608d93cf94381ea22e3f4b38d21401e3
Star Mobile (Japan) (Mega Drive Mini 2),SEGA MEGA DRIVE,(C)T-XX 1992.___,スターモビール,Star Mobile,GM,XXXXXXXX-XX,(unknown),13691 (0x357B),J,f814c9babf9057dbc0be14fd20190aeb07f48634858abde64e271a759d3f8e32
"Star Mobile (USA, Europe) (Mega Drive Mini 2, Genesis Mini 2)",SEGA MEGA DRIVE,(C)T-XX 1992.___,スターモビール,Star Mobile,GM,XXXXXXXX-XX,(unknown),13691 (0x357B),U,6b75e68d3bd85bff5fbba6298170d8e46a2abd746d8b0dd01460e02d8094e9a8
Star Trek - Deep Space Nine - Crossroads of Time (Europe),SEGA MEGA DRIVE,(C)T-70 1995.APR,DEEP SPACE NINE CROSSROADS OF TIME,DEEP SPACE NINE CROSSROADS OF TIME,GM,T-70436-500,(unknown),35218 (0x8992),E,f36db4f0d8b4375b8c682b24dc8d088520b33798864d7da3b65b2230e896b083
Star Trek - Deep Space Nine - Crossroads of Time (USA),SEGA GENESIS,(C)T-1321995.APR,DEEP SPACE NINE CROSSROADS OF TIME,DEEP SPACE NINE CROSSROADS OF TIME,GM,T-132016-00,(unknown),23028 (0x59F4),U,fb5be05fdbcc1916d7dd1303db02a42be1dff7b0634d9d2786ae4a5ee038b864
Star Trek - The Next Generation - Echoes from the Past (USA),SEGA GENESIS,(C)SEGA 1994.JAN,STAR TREK: THE NEXT GENERATION,STAR TREK: THE NEXT GENERATION,GM,MK-1313,0,52530 (0xCD32),U,2b9e15db3153a7da4c017ed5d7222dfc953396f658a855cf4d66d814f9f0afc6
Star Trek - The Next Generation - Echoes from the Past (USA) (Rev A),SEGA GENESIS,(C)SEGA 1994.JAN,STAR TREK: THE NEXT GENERATION,STAR TREK: THE NEXT GENERATION,GM,MK-1313,1,37104 (0x90F0),U,7cced8f9ca02f10344c9b752ce395c95c05b7ffa2acb069522eb3dc3f5f512ac
"Starflight (USA, Europe)",SEGA GENESIS,(C)T-50 1991.SEP,STARFLIGHT,STARFLIGHT,GM,T-50216,0,13352 (0x3428),U,31b9d25fcde71c9707a408d58ca229a3b87c1e4fd1300cc407f2ac1d13f15250
"Starflight (USA, Europe) (Rev A)",SEGA GENESIS,(C)T-50 1991.OCT,Starflight,Starflight,GM,T-50216,1,17390 (0x43EE),U,b3bbbdaa5700e6db2d2c2645ec73df4272daf43613b3d17fb4760fa584bcffe3
"Stargate (USA, Europe)",SEGA GENESIS,(C)SEGA 1995.JAN,STARGATE,STARGATE,GM,T-81396-00,(unknown),39132 (0x98DC),JUE,ca3376588e0aa4cb4e6a02e6d40b3be424ab02f8bce2a78f111e935d740f9447
Steel Empire (USA),SEGA GENESIS,(C)T-81 1992.FEB,STEEL EMPIRE,STEEL EMPIRE,GM,T-081046-00,(unknown),6114 (0x17E2),UE,eeea96d6d6f7e237c1d38f64741b8cc61ce37bae4b0928086ea54c1938af5702
Steel Empire (USA) (1992-03-13) (Sega Channel),SEGA GENESIS,(C)T-81 1992.FEB,鋼鉄帝国,STEEL EMPIRE,GM,T-81046,0,6114 (0x17E2),UE,eb536ac6c66ce568ea0ec93931da99568f77d11c1339196272c30ee354bfaac6
"Steel Talons (Japan, Korea) (Ja)",SEGA MEGA DRIVE,(C)T-48 1993.JUN,Steel Talons,Steel Talons,GM,T-48103,0,22237 (0x56DD),JUE,10420fce1a7b7801d864ff5337e6bfe08c8ca4334c567dddf1ca9081b083a74a
"Steel Talons (USA, Europe)",SEGA GENESIS,(C)SEGA 1992.JUL,Steel Talons,Steel Talons,GM,T-48146,0,46557 (0xB5DD),UJE,165c91d70bd92080889d99a35b351dc4912bb6dc65e9c82582da34c192770e73
Stormlord (Japan),SEGA MEGA DRIVE,(C)T-49,STORMLORD,STORMLORD,GM,T-49113,0,54349 (0xD44D),J,7a7126af58b9bbcc89f31cba27aaa44e8b6142e91726299a773fb2dbf84fe8df
Stormlord (USA),SEGA GENESIS,(C)RSI 1990 SEPT,STORMLORD,(unknown),GM,T-56026,0,2253 (0x08CD),U,7d13314df6406e82549383cd1d8789e193066a909c89fe84962496df23f6fcef
"Story of Thor, The - Hikari o Tsugumono (Japan)",SEGA MEGA DRIVE,(C)SEGA 1994.DEC,THE STORY OF THOR,THE STORY OF THOR,GM,G-5543,0,28290 (0x6E82),J,cd46151977b166eb8fcb5ea6079f5093d82dbbfe9345aa4cd89cc23ee3d1fcf2
"Story of Thor, The (Europe)",SEGA MEGA DRIVE,(C)SEGA 1994.OCT,THE STORY OF THOR,THE STORY OF THOR,GM,MK-1354,0,5863 (0x16E7),8,4fede08b01d73ee82aa2ba6fdb32352fb03f2eab1abc2bb032e51a93dd7e94b7
"Story of Thor, The (Europe) (Mega Drive Mini)",SEGA MEGA DRIVE,(C)SEGA 1994.OCT,THE STORY OF THOR,THE STORY OF THOR,GM,MK-1354,0,5863 (0x16E7),8,fd40b7cf38ee213cb9ca121ac438269075e9efa0bd4eacade83f2df268ad0608
"Story of Thor, The (Germany)",SEGA MEGA DRIVE,(C)SEGA 1994.DEC,THE STORY OF THOR,THE STORY OF THOR,GM,MK-1354,0,25570 (0x63E2),8,3d4d8e3d2668c5262bdc46b2ac4375e5dc3c4ddc281489a702b7d6723b4220e6
"Story of Thor, The (Germany) (Mega Drive Mini)",SEGA MEGA DRIVE,(C)SEGA 1994.DEC,THE STORY OF THOR,THE STORY OF THOR,GM,MK-1354,0,25570 (0x63E2),8,a2b90411d98f9691d2e99c521f3df2e4c688df83205561b3d2018c118e33c019
"Story of Thor, The (Korea)",SEGA MEGA DRIVE,(C)SEGA 1994.OCT,THE STORY OF THOR,THE STORY OF THOR,GM,G-5543,0,7066 (0x1B9A),J,b1c58ddbcc013596eea494377fdd8771f4d24058be0ae4b416838ce595036882
"Story of Thor, The (Spain)",SEGA MEGA DRIVE,(C)SEGA 1994.NOV,THE STORY OF THOR,THE STORY OF THOR,GM,MK-1354,0,34985 (0x88A9),8,0c5f2f64ccbb887eafaed07cd6ccf5ef9ad9ab39751adecf799e406255224a1b
"Story of Thor, The (Spain) (Mega Drive Mini)",SEGA MEGA DRIVE,(C)SEGA 1994.NOV,THE STORY OF THOR,THE STORY OF THOR,GM,MK-1354,0,34985 (0x88A9),8,ca40f1ef922c71d37ea0c817d5a17beea322a25462bd5d95b12682e1bd6c1d51
