Redump_Name,Hardware_Designation,Company_Code,Build_Date,Domestic_Game_Title,Overseas_Game_Title,Disc_Type,Product_Number,Version,I/O_Devices,Region
Night Trap (Europe) (Disc 1) (Mega-CD 32X),SEGA 32X,(C)T-162,1995.JAN,NIGHT TRAP,DISK1,GM,T-16202F,50,J         ,E               
Night Trap (Europe) (Disc 2),SEGA MEGA DRIVE,(C)SEGA,1993.APR,,NIGHT TRAP,GM,MK-4903,0,J         ,E               
Night Trap (Europe) (Disc 2) (Mega-CD 32X),SEGA 32X,(C)T-162,1995.JAN,NIGHT TRAP,DISK2,GM,T-16202F,50,J         ,E               
Night Trap (France) (Disc 1),SEGA MEGA DRIVE,(C)SEGA,1994.APR,NIGHT TRAP,DISK1,GM,MK-4903,0,J         ,E               
Night Trap (France) (Disc 2),SEGA MEGA DRIVE,(C)SEGA,1994.APR,NIGHT TRAP,DISK2,GM,MK-4903,0,J         ,E               
Night Trap (Japan) (Demo),SEGA MEGA DRIVE,(C)SEGA,1993.OCT,NIGHT TRAP,,GM,G-6025,0,J         ,J               
Night Trap (Japan) (Disc 1),SEGA MEGA DRIVE,(C)SEGA,1993.OCT,NIGHT TRAP,DISK1,GM,G-6025,0,J         ,J               
Night Trap (Japan) (Disc 2),SEGA MEGA DRIVE,(C)SEGA,1993.OCT,NIGHT TRAP,DISK2,GM,G-6025,0,J         ,J               
Night Trap (USA) (Disc 1) (Rerelease),SEGA GENESIS,(C)T-162,1994.DEC,NIGHT TRAP,DISK1,GM,T-162105,0,J         ,U               
Night Trap (USA) (Disc 1) (Rerelease) (Alt),SEGA GENESIS,(C)T-162,1994.DEC,NIGHT TRAP,DISK1,GM,T-162105,0,J         ,U               
Night Trap (USA) (Disc 1) (Sega CD 32X) (RE-1),SEGA 32X,(C)T-162,1994.DEC,NIGHT TRAP,DISK1,GM,T-16202F,0,J         ,U               
Night Trap (USA) (Disc 2) (Rerelease),SEGA GENESIS,(C)T-162,1994.DEC,NIGHT TRAP,DISK2,GM,T-162105,0,J         ,U               
Night Trap (USA) (Disc 2) (Rerelease) (Alt),SEGA GENESIS,(C)T-162,1994.DEC,NIGHT TRAP,DISK2,GM,T-162105,0,J         ,U               
Night Trap (USA) (Disc 2) (Sega CD 32X) (RE-1),SEGA 32X,(C)T-162,1994.DEC,NIGHT TRAP,DISK2,GM,T-16202F,0,J         ,U               
"Ninja Warriors, The (Japan)",SEGA MEGA DRIVE,(C)T-11,1993.MAR,THE NINJA WARRIORS,THE NINJA WARRIORS,GM,T-11024,0,JC        ,J               
Nobunaga no Yabou - Haouden (Japan),SEGA MEGA DRIVE,(C)T-76,1994.FEB,信長の野望　～覇王伝～,ECTION,GM,T-76024,0,JM        ,J               
Nostalgia 1907 - In North Atlantic Sea (Japan),SEGA MEGA DRIVE,(C)SEGA,1991.NOV,NOSTALGIA 1907 BY TAKERU,NOSTALGIA 1907 BY TAKERU,XX,0,0,J         ,J               
