Scene Release,File Name,Game Title,Product Number,Redump Serial 1,Redump Serial 2,Redump Serial 3,Version,Release Date,Playable Regions,Maker ID,Hardware ID,H/W Vendor ID,Media ID,Media Information,Area Symbols,Peripherals,Boot Filename
Redump,Angel Present (Japan),ANGELPRESENT,T20107M,T-20107M,,,V1.001,20001222,Japan/Asia,SEGA LC-T-201,SEGA SEGAKATANA,SEGA ENTERPRISES,11EF,GD-ROM1/1,J,0799810,1ST_READ.BIN
Redump,Angel Wish - Kimi no Egao ni Chu! (Japan),ANGEL WISH,T18712M,T-18712M,,,V1.003,20050121,Japan/Asia,SEGA LC-T-187,SEGA SEGAKATANA,SEGA ENTERPRISES,3CF3,GD-ROM1/1,J,0499810,1ST_READ.BIN
Redump,Animastar (Japan),ANIMASTAR,T34101M,T-34101M,,,V1.009,20000519,Japan/Asia,SEGA LC-T-341,SEGA SEGAKATANA,SEGA ENTERPRISES,324A,GD-ROM1/1,J,0799810,1ST_READ.BIN
Redump,Ao no 6-gou - Saigetsu Hito o Matazu - Time and Tide (Japan),BLUE6 -TIME AND TIDE-,HDR-0075,HDR-0075,,,V1.008,20001109,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,0359,GD-ROM1/1,J,0799A10,1ST_READ.BIN
Redump,"Aqua GT (Europe) (En,Fr,De)",AQUA GT,T40509D 50,T-40509D50,,,V1.000,20001114,Europe,SEGA LC-T-405,SEGA SEGAKATANA,SEGA ENTERPRISES,E60D,GD-ROM1/1,E,0799800,1ST_READ.BIN
Redump,Armada (USA),ARMADA,T40301N 00,T-40301N,,,V1.000,19991104,USA/Canada,SEGA LC-T-403,SEGA SEGAKATANA,SEGA ENTERPRISES,1797,GD-ROM1/1,U,0799811,0WINCEOS.BIN
Redump,"Army Men - Sarge's Heroes (Europe) (En,Fr,De,Es,It)",ARMY MEN SARGES HEROES,T9708D  50,T-9708D-50,,,V1.001,20001006,Europe,SEGA LC-T-97,SEGA SEGAKATANA,SEGA ENTERPRISES,B977,GD-ROM1/1,E,0799A00,1ST_READ.BIN
Redump,Army Men - Sarge's Heroes (USA) (Demo),ARMY MEN SARGES HEROES,T-9715N,T-9715ND,,,V1.001,20000908,USA/Canada,MIDWAY,SEGA SEGAKATANA,SEGA ENTERPRISES,0DDF,GD-ROM1/1,U,0799A00,1ST_READ.BIN
Redump,Army Men - Sarge's Heroes (USA),ARMY MEN SARGES HEROES,T-9715N,T-9715N,,,V1.001,20000908,USA/Canada,MIDWAY,SEGA SEGAKATANA,SEGA ENTERPRISES,0DDF,GD-ROM1/1,U,0799A00,1ST_READ.BIN
Redump,Atari Anniversary Edition (USA),ATARI ANNIVERSARY EDITION,T15130N,T-15130N,,,V1.001,20010608,USA/Canada,SEGA LC-T-151,SEGA SEGAKATANA,SEGA ENTERPRISES,E9E3,GD-ROM1/1,U,0699011,0WINCEOS.BIN
