Title,Disc_Serial
Affect Taikenban Vol. 1 (Japan),SLPM-80552
AFL 99 (Australia),SLES-01875
Afraid Gear (Japan),SLPS-00995
Afraid Gear Another (Japan),SLPM-86834
Agent Armstrong - Himitsu Shirei Daisakusen (Japan),SLPS-01073
"Agent Armstrong (Europe) (En,Fr,De,Es)",SLES-00474
Agile Warrior - F-111X (Europe),SLES-00124
Agile Warrior - F-111X (Japan),SLPS-00179
Agile Warrior - F-111X (USA),SLUS-00023
Aging Disk (Japan),PTPX-97002
AI Mahjong 2000 (Japan),SLPS-02411
AI Mahjong Selection (Japan),SLPM-87117
AI Shougi (Japan),SLPS-00109
AI Shougi 2 (Japan),SLPS-01159
AI Shougi 2 Deluxe (Japan),SLPS-02285
AI Shougi Selection (Japan),SLPM-87068
Ai to Yuujou no Neko Monogatari. Jingle Cats - Love Para Daisakusen no Maki (Japan),SLPS-01409
Air Combat (Europe),SCES-00007
Air Combat (Europe) (EDC),SCES-00007
Air Combat (USA),SLUS-00001
Air Hockey (Europe),SLES-03743
Air Hockey (USA),SLUS-01467
Air Management '96 (Japan),SLPS-00269
Air Race (Europe),SLES-00762
AirAssault - The Red Mercury Missions (Japan),SIPS-60005
AirAssault - The Red Mercury Missions (Japan) (Demo),PCPX-96041
AirGrave (Japan),SLPS-00559
"Aironauts (Europe) (En,Fr,De)",SLES-02137
AirRace Championship (Japan),SLPS-01879
"Airs, The (Japan)",SLPS-01916
Aishiau Koto Shika Dekinai (Japan),SLPS-01096
Aitakute... - Your Smiles in My Heart - Oroshitate no Diary - Introduction Disc (Japan),SLPM-80162
Aitakute... - Your Smiles in My Heart (Japan) (Disc 1),SLPM-86254
Aitakute... - Your Smiles in My Heart (Japan) (Disc 2),SLPM-86255
Aitakute... - Your Smiles in My Heart (Japan) (Disc 3),SLPM-86256
Aitakute... - Your Smiles in My Heart (Japan) (Disc 4),SLPM-86257
Akagawa Jirou - Majo-tachi no Nemuri - Fukkatsusai (Japan),SLPS-01863
Akagawa Jirou - Yasoukyoku (Japan),SLPS-01462
Akagawa Jirou - Yasoukyoku (Japan),SLPS-91151
Akagawa Jirou - Yasoukyoku (Japan),SLPS-91503
Akagawa Jirou - Yasoukyoku (Japan) (Shokai Genteiban),SLPS-01415
Akagawa Jirou - Yasoukyoku 2 (Japan),SLPS-03213
Akazu no Ma (Japan),SLPS-00619
"Akuji the Heartless (Europe) (En,Fr,De)",SLES-01298
Akuji the Heartless (USA),SLUS-00715
Akumajou Dracula X - Gekka no Yasoukyoku (Japan),SLPM-86023
Akumajou Dracula X - Gekka no Yasoukyoku (Japan) (Rev 1),SLPM-86023
Akumajou Dracula X - Gekka no Yasoukyoku (Japan) (Rev 2),SLPM-86073
Akumajou Dracula X - Gekka no Yasoukyoku (Japan) (Rev 2),SLPM-87328
Albaria no Otome - Uruwashi no Seikishitachi (Japan),SLPS-01578
Alex Ferguson's Player Manager 2001 (Europe),SLES-03150
Alex Ferguson's Player Manager 2002 (Europe),SLES-03775
Alexandra Ledermann 2 - Equitation Competition (France),SLES-03290
"Alexi Lalas International Soccer (USA) (En,Fr,De,Es,It)",SLUS-00872
Alfred Chicken (Europe) (Beta) (2001-12-03),SLES-12345
Alfred Chicken (Europe) (Beta) (2002-02-07),SCES-03817
"Alfred Chicken (Europe) (En,Fr,De,Es,It)",SCES-03817
Alice in Cyberland (Japan),SLPS-00636
"Alien Resurrection (Europe) (En,Fr,De,Es,It)",SLES-02913
Alien Resurrection (USA),SLUS-00633
"Alien Trilogy (Europe) (En,Fr,Es,It)",SLES-00101
Alien Trilogy (France) (Demo),SLES-00288
Alien Trilogy (Germany),SLES-00246
Alien Trilogy (Japan),SLPS-00332
Alien Trilogy (USA),SLUS-00007
Alive (Japan) (Disc 1),SLPS-01527
Alive (Japan) (Disc 2),SLPS-01528
Alive (Japan) (Disc 3),SLPS-01529
All Music Dance! (Italy),SLES-04162
All Star Action (Europe) (Disc 1),SLES-04107
All Star Action (Europe) (Disc 2),SLES-14107
All Star Boxing (Europe),SLES-03958
All Star Racing (Europe),SLES-03740
All Star Racing (USA),SLUS-01460
All Star Racing 2 (Europe),SLES-03933
All Star Racing 2 (USA),SLUS-01510
"All Star Soccer (Europe) (En,Fr,De,It)",SLES-00747
All Star Tennis (Europe),SLES-03963
"All Star Tennis 2000 (Europe) (En,De,Es,It)",SLES-02764
All Star Tennis 2000 (France),SLES-02765
All Star Tennis '99 (Europe) (Demo),SLED-01560
"All Star Tennis '99 (Europe) (En,Fr,De,Es,It)",SLES-01433
All Star Tennis '99 (Japan),SLPS-01962
All Star Watersports (Europe),SLES-04060
Alla Ricerca della Valle Incantata - Ritorno alla Grande Vallata (Italy),SLES-02984
Allied General (Europe),SLES-00417
"Allied General (Japan) (En,Ja)",SLPS-00843
Allied General (USA),SLUS-00303
All-Star Baseball 97 featuring Frank Thomas (USA),SLUS-00392
All-Star Mahjong - Karei naru Shoubushi kara no Chousen (Japan),SLPS-00993
All-Star Slammin' D-Ball (USA),SLUS-01431
Alnam no Kiba - Juuzoku Juuni Shinto Densetsu (Japan),SLPS-00173
Alnam no Tsubasa - Shoujin no Sora no Kanata e (Japan) (Demo),SLPM-80069
Alnam no Tsubasa - Shoujin no Sora no Kanata e (Japan) (Disc 1),SLPS-01187
Alnam no Tsubasa - Shoujin no Sora no Kanata e (Japan) (Disc 2),SLPS-01188
Alnam no Tsubasa - Shoujin no Sora no Kanata e (Japan) (Disc 3),SLPS-01189
"Alone in the Dark - Jack Is Back (Europe) (En,Fr,De,Es,It)",SLES-00037
Alone in the Dark - One-Eyed Jack's Revenge (USA),SLUS-00239
Alone in the Dark - The New Nightmare (Europe) (Disc 1),SLES-02801
Alone in the Dark - The New Nightmare (Europe) (Disc 2),SLES-12801
Alone in the Dark - The New Nightmare (France) (Disc 1),SLES-02802
Alone in the Dark - The New Nightmare (France) (Disc 2),SLES-12802
Alone in the Dark - The New Nightmare (Germany) (Disc 1),SLES-02803
Alone in the Dark - The New Nightmare (Germany) (Disc 2),SLES-12803
Alone in the Dark - The New Nightmare (Italy) (Disc 1),SLES-02805
Alone in the Dark - The New Nightmare (Italy) (Disc 2),SLES-12805
Alone in the Dark - The New Nightmare (Spain) (Disc 1),SLES-02804
Alone in the Dark - The New Nightmare (Spain) (Disc 2),SLES-12804
Alone in the Dark - The New Nightmare (USA) (Disc 1),SLUS-01201
Alone in the Dark - The New Nightmare (USA) (Disc 2),SLUS-01377
Alone in the Dark 2 (Japan),SLPS-00141
Alundra (Europe),SLES-01135
Alundra (Europe) (Demo),SLED-01308
Alundra (France),SLES-01198
Alundra (Germany),SLES-01256
Alundra (Italy),SLES-01257
Alundra (Japan),SCPS-10035
Alundra (Spain),SLES-01258
Alundra (USA),SLUS-00553
Alundra 2 - A New Legend Begins (Europe),SLES-02600
Alundra 2 - A New Legend Begins (USA),SLUS-01017
Alundra 2 - Der Beginn einer neuen Legende (Germany),SLES-02602
Alundra 2 - Mashinka no Nazo (Japan),SCPS-10115
Alundra 2 - Mashinka no Nazo (Japan) (Demo),PAPX-90097
Alundra 2 - Une Legende Est Nee (France),SLES-02601
"Amazing Virtual Sea-Monkeys, The (Europe) (En,Fr,De,Es,It,Nl,Pt)",SLES-03858
"Amazing Virtual Sea-Monkeys, The (USA) (En,Es)",SLUS-01475
America Oudan Ultra Quiz (Japan),SLPS-00241
America Oudan Ultra Quiz (Japan) (Fukkokuban),SLPS-01802
America Oudan Ultra Quiz (Japan) (Fukkokuban),SLPS-91484
American Pool (Europe),SLES-04037
American Pool (USA),SLUS-01488
Amerzone - Das Testament des Forschungsreisenden (Germany) (Disc 1),SLES-02348
Amerzone - Das Testament des Forschungsreisenden (Germany) (Disc 2),SLES-12348
Amerzone - El Legado del Explorador (Spain) (Disc 1),SLES-02349
Amerzone - El Legado del Explorador (Spain) (Disc 2),SLES-12349
Amerzone - Il Testamento dell'Esploratore (Italy) (Disc 1),SLES-02350
Amerzone - Il Testamento dell'Esploratore (Italy) (Disc 2),SLES-12350
Amerzone - O Testamento do Explorador (Portugal) (Disc 1),SLES-02429
Amerzone - O Testamento do Explorador (Portugal) (Disc 2),SLES-12429
Amerzone - The Explorer's Legacy (Europe) (Disc 1),SLES-02347
Amerzone - The Explorer's Legacy (Europe) (Disc 2),SLES-12347
"Amerzone, L' (France) (Disc 1)",SLES-02346
"Amerzone, L' (France) (Disc 2)",SLES-12346
Analog Controller Service Disc (Revised) (Europe),PEPX-94009
Analog Controller Service Disc (Revised) (USA),PUPX-93010
Analog Controller Service Disc (USA),PUPX-93008
"Anastasia (Europe) (En,Fr,De,Nl)",SLES-02961
Ancient Roman - Power of Dark Side (Japan) (Disc 1),SLPS-01108
Ancient Roman - Power of Dark Side (Japan) (Disc 2),SLPS-01109
Ancient Roman Extra (Japan) (Demo),SLPM-80141
Andretti Racing (Europe),SLES-00438
Andretti Racing (France),SLES-00439
Andretti Racing (Germany),SLES-00440
Andretti Racing (Japan),SLPS-00759
Andretti Racing (USA),SLUS-00264
Angel Blade - Neo Tokyo Guardians (Japan),SLPS-00894
Angel Blade - Neo Tokyo Guardians (Japan) (Demo),SLPM-80094
Angel Blade - Neo Tokyo Guardians (Japan) (Major Wave),SLPM-86960
Angel Graffiti - Anata e no Profile (Japan),SLPS-00163
Angel Graffiti - Anata e no Profile (Japan),SLPS-00306
Angelique - Tenkuu no Requiem (Japan),SLPM-86165
Angelique - Tenkuu no Requiem (Japan),SLPM-86289
Angelique - Tenkuu no Requiem (Japan),SLPM-86595
Angelique - Tenkuu no Requiem (Japan) (Premium Box),SLPM-86164
Angelique - Tenkuu no Requiem (Japan) (Premium Box),SLPM-86510
Angelique Duet (Japan),SLPS-01337
Angelique Duet (Japan),SLPM-86493
Angelique Duet (Japan) (Angelique History),SLPM-86509
Angelique Special (Japan),SLPM-86189
Angelique Special (Japan),SLPM-86506
Angelique Special (Japan),SLPM-86787
Angelique Special 2 (Japan),SLPS-00805
Angelique Special 2 (Japan),SLPM-86492
Angelique Special 2 (Japan) (Premium Box),SLPS-00745
Angelique Special 2 (Japan) (Premium Box),SLPM-86508
"Animal Football (Europe) (En,Fr,De)",SLES-04071
Animal Snap - Rescue Them 2 by 2 (Europe),SLES-04036
Animaniacs - Ten Pin Alley (USA),SLUS-00784
Animetic Story Game 1 - Card Captor Sakura (Japan) (Disc 1),SLPS-01830
Animetic Story Game 1 - Card Captor Sakura (Japan) (Disc 2),SLPS-01831
Animorphs - Shattered Reality (USA),SLUS-01010
Ankh - Tutankhamen no Nazo (Japan) (Disc 1),SLPS-01068
Ankh - Tutankhamen no Nazo (Japan) (Disc 2),SLPS-01069
Anna Kournikova's Smash Court Tennis (Europe),SCES-01833
Anna Kournikova's Smash Court Tennis (Europe) (Rev 1),SCES-01833
Annanjarin (Japan),SLPS-01424
Ano Ko Doko no Ko (Japan),SLPS-01522
Another Memories (Japan),SLPS-01431
Another Mind (Japan),SLPS-01655
Another Mind (Japan) (Demo),SLPM-80321
Anstoss - Premier Manager (Germany),SLES-02563
Ao no 6-gou - Antarctica (Japan) (Disc 1),SLPS-02940
