redump_name,serial_1,serial_2,serial_3,serial_4,serial_5
Bokujou Monogatari - Sugar Mura to Minna no Negai (Japan),ULJS 00188,,,,
Bomberman - Bakufuu Sentai Bombermen (Japan),UCJS-10030,,,,
Bomberman - Panic Bomber (Japan),ULJM 05023,,,,
"Bomberman (Europe) (En,Fr,De,Es,It)",ULES-00469,,,,
Bomberman (USA),ULUS-10121,,,,
"Bomberman Land (Europe) (En,Fr,De,Es,It)",ULES-00959,,,,
Bomberman Land (USA),ULUS-10319,,,,
Bomberman Land Portable (Japan),ULJM 05181, ULJM 05319,,,
Bomberman Portable (Japan),ULJM 05034,,,,
Bounty Hounds (Asia),UCAS-40037,,,,
Bounty Hounds (Japan),ULJS 00021,,,,
Bounty Hounds (Japan) (Taikenban),ULJM 91006,,,,
Bounty Hounds (USA),ULUS-10161,,,,
Boxer's Road 2 - The Real (Japan),ULJM 05125,,,,
Brave Story - Aratanaru Tabibito (Japan),UCJS 10024,,,,
Brave Story - New Traveler (USA),ULUS-10279,,,,
Breath of Fire III (Europe),ULES-00193, ULES-00193/E,,,
Breath of Fire III (Japan),ULJM 05029,,,,
Brian Lara 2007 - Pressure Play (Europe),ULES-00814,,,,
Brooktown High (USA),ULUS-10257,,,,
Brothers Conflict - Brilliant Blue (Japan),ULJM 06315,,,,
Brothers Conflict - Passion Pink (Japan),ULJM 06065, ULJM 06066,,,
"Brothers in Arms - D-Day (Europe, Australia) (En,Fr,De,Es,It)",ULES-00608,,,,
Brothers in Arms - D-Day (USA),ULUS-10193,,,,
"Brujula Dorada, La (Spain)",ULES-00954,,,,
Brunswick Pro Bowling (Europe),ULES-00848,,,,
Brunswick Pro Bowling (USA),ULUS-10283,,,,
Bubble Bobble - Magical Tower Daisakusen (Asia),UCAS 40097,,,,
"Bubble Bobble Evolution (Europe) (En,Fr,De,Es,It)",ULES-00303,,,,
Bubble Bobble Evolution (USA),ULUS-10143,,,,
Bullet Butlers - Juudan no Kanata (Japan),ULJM 05941,,,,
Bunmei Kaika - Aoiza Ibunroku (Japan),ULJM 05824,,,,
Burnout Dominator (Asia),ULAS 42095,,,,
Burnout Dominator (Europe),ULES-00750,,,,
"Burnout Dominator (Europe) (En,Fr,De,Es,It)",ULES-00703,,,,
Burnout Dominator (Japan),ULJM 05371,,,,
Burnout Dominator (Korea),ULKS 46136,,,,
Burnout Dominator (USA),ULUS-10236,,,,
Burnout Legends (Asia),ULAS 42019,,,,
"Burnout Legends (Europe) (En,Fr,De,Es,It,Nl) (v2.00)",ULES-00125#,,,,
"Burnout Legends (Europe, Australia) (En,Fr,De,Es,It,Nl) (v1.01)",ULES-00125, ULES-00125/ANZ,,,
Burnout Legends (Japan),ULJM 05049,,,,
Burnout Legends (Japan) (EA Best Hits),ULJM 05228,,,,
Burnout Legends (Korea),ULKS 46027,,,,
"Burnout Legends (USA) (En,Fr,De,Es,It,Nl) (v1.00)",ULUS 10025,,,,
"Burnout Legends (USA) (En,Fr,De,Es,It,Nl) (v2.00)",ULUS 10025, ULUS-10025GH,,,
Busou Shinki - Battle Masters (Japan),ULJM 05538,,,,
Busou Shinki - Battle Masters Mk. 2 (Japan),ULJM 05844,,,,
"Bussola d'Oro, La (Italy)",ULES-00953,,,,
Bust-A-Move - Deluxe (USA),ULUS-10057,,,,
Bust-A-Move Ghost (Europe),ULES-00233,,,,
"Buzz! Brain Bender (Europe) (En,Fr,De,Es,It,Nl,Pt,Pl)",UCES-01157, UCES-01157/POR,,,
"Buzz! Brain Bender (Scandinavia) (Sv,No,Da,Fi)",UCES-01158,,,,
"Buzz! Brain of Oz ~ Buzz! Brain of New Zealand (Australia, New Zealand)",UCES-01202,,,,
"Buzz! Brain of Switzerland (Switzerland) (Fr,De)",UCES-01208,,,,
Buzz! Brain of the UK (UK),UCES-01196,,,,
Buzz! Brain of the World (Europe),UCES-01201,,,,
"Buzz! Concurso Universal (Europe) (Es,Pt)",UCES-01292/9131366,,,,
"Buzz! Danske Genier ~ Buzz! Norgesmester (Europe) (No,Da)",UCES-01203,,,,
"Buzz! Das grosse Laenderquiz (Europe) (De,It)",UCES-01209,,,,
Buzz! De Slimste van Nederland (Netherlands),UCES-01217,,,,
"Buzz! De Strafste van Belgie (Belgium) (Fr,Nl)",UCES-01205,,,,
Buzz! Deutschlands Superquiz (Germany),UCES-01199,,,,
Buzz! Il Quizzone Nazionale (Italy),UCES-01198,,,,
Buzz! Le Plus Malin des Francais (France),UCES-01197,,,,
Buzz! Master Quiz (Europe),UCES-01042,,,,
"Buzz! Master Quiz (Europe) (De,It)",UCES-01031,,,,
"Buzz! Master Quiz (Europe) (En,Pl)",UCES-01130,,,,
"Buzz! Master Quiz (Europe) (Es,Pt)",UCES-01032/POR,,,,
"Buzz! Master Quiz (Europe) (Fr,Nl)",UCES-01033, UCES-01033/E,,,
"Buzz! Master Quiz (Europe) (No,Da)",UCES-01034,,,,
"Buzz! Master Quiz (Europe) (Sv,Fi)",UCES-01041/9978053, UCES-01041/SWE/FIN,,,
Buzz! Master Quiz (USA),UCUS 98729,,,,
"Buzz! Polskie Lamiglowki ~ Buzz! Mozak Hrvatske (Europe) (Pl,Hr)",UCES-01206,,,,
Buzz! Que Sabes de tu Pais (Spain),UCES-01200,,,,
"Buzz! Quem e o Genio Portugues ~ Buzz! Sokrovishha nacii (Europe) (Pt,Ru)",UCES-01207, UCES-01207/POR,,,
Buzz! Quiz World (Australia),UCES-01293,,,,
"Buzz! Quiz World (Europe) (De,It)",UCES-01290,,,,
"Buzz! Quiz World (Europe) (El,Cs)",UCES-01297,,,,
"Buzz! Quiz World (Europe) (En,Pl)",UCES-01289,,,,
"Buzz! Quiz World (Europe) (Fr,Nl)",UCES-01291,,,,
"Buzz! Quiz World (Europe) (No,Da)",UCES-01294,,,,
"Buzz! Quiz World (Europe) (Ru,Hr)",UCES-01296,,,,
"Buzz! Quiz World (Europe) (Sv,Fi)",UCES-01295/FIN,,,,
"Buzz! Svenska Genier ~ Buzz! Suomen Neropatti (Europe) (Sv,Fi)",UCES-01204,,,,
Buzz! The Ultimate Music Quiz (Australia),UCES-01452,,,,
Buzz! The Ultimate Music Quiz (Europe),UCES-01445,,,,
"Buzz! The Ultimate Music Quiz (Europe) (De,It)",UCES-01449,,,,
"Buzz! The Ultimate Music Quiz (Europe) (Es,Pt)",UCES-01451,,,,
"Buzz! The Ultimate Music Quiz (Europe) (Fr,Nl)",UCES-01450,,,,
"Buzz! The Ultimate Music Quiz (Europe) (Sv,Fi)",UCES-01454/FIN,,,,
Buzz! The Ultimate Music Quiz (Greece),UCES-01485,,,,
"Buzz! The Ultimate Music Quiz (Scandinavia) (No,Da)",UCES-01453,,,,
Cabela's African Safari (USA),ULUS 10175,,,,
Cabela's Dangerous Hunts - Ultimate Challenge (Europe),ULES-00550,,,,
Cabela's Dangerous Hunts - Ultimate Challenge (USA),ULUS-10106,,,,
Cabela's Legendary Adventures (USA),ULUS-10385,,,,
Cabela's North American Adventures (USA),ULUS-10533,,,,
Cake Mania - Baker's Challenge (USA),ULUS-10362,,,,
"Call of Duty - Roads to Victory (Europe) (En,Fr,Es,It)",ULES-00643, ULES-00643/P,,,
Call of Duty - Roads to Victory (Germany),ULES-00644,,,,
"Call of Duty - Roads to Victory (USA) (En,Ja,Fr,De,Es,It)",ULUS-10218,,,,
Capcom Classics Collection (Japan),ULJM 05104, ULJM 05280,,,
Capcom Classics Collection Reloaded (Europe),ULES-00377,,,,
Capcom Classics Collection Reloaded (USA),ULUS-10134,,,,
Capcom Classics Collection Remixed (Asia),UCAS-40199,,,,
Capcom Classics Collection Remixed (Europe),ULES-00347,,,,
Capcom Classics Collection Remixed (USA),ULUS-10097,,,,
Capcom Puzzle World (Europe),ULES-00647,,,,
Capcom Puzzle World (USA),ULUS-10217,,,,
Capcom Special Taikenban 3 in 1 (Japan),ULJM 91004,,,,
Carnage Heart EXA (Japan),ULJM 05698,,,,
Carnage Heart Portable (Japan),ULJM 05138,,,,
"Carol Vorderman's Sudoku (Europe) (En,Fr,De)",ULES-00388,,,,
"Carol Vorderman's Sudoku (USA) (En,Fr,De,Es,It)",ULUS-10126,,,,
"Cart Kings (India) (En,Hi)",UCES-01520,,,,
"Castlevania - The Dracula X Chronicles (Europe) (En,Fr,De,Es,It)",ULES-00841,,,,
Castlevania - The Dracula X Chronicles (Korea),ULKS 46155,,,,
