File Name,Game Title,Product Number,Version,Release Date,Playable Regions,Maker ID,Hardware ID,H/W Vendor ID,Media ID,Media Information,Area Symbols,Peripherals,Boot Filename
Bounty Hunter Sara - Holy Mountain no Teiou v1.001 (2001)(Capcom)(JP)[!],BOUNTY HUNTER SARA SCENARIO1,T1243M,V1.001,20010328,Japan/Asia,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,3BDA,GD-ROM1/1,J,0199A10,0.BIN
Buggy Heat v1.001 (1999)(Sega)(PAL)(M4)[!],BUGGYHEAT,MK-5104050,V1.001,19990916,Europe,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,9457,GD-ROM1/1,E,0799A00,1ST_READ.BIN
Buggy Heat v1.004 (1999)(CRI)(JP)[!],BUGGYHEAT,T6801M,V1.004,19990603,Japan/Asia,SEGA LC-T-68,SEGA SEGAKATANA,SEGA ENTERPRISES,0D06,GD-ROM1/1,J,0799A10,1ST_READ.BIN
Bust-A-Move 4 v1.001 (2000)(Acclaim)(PAL)[!],BUST-A-MOVE4,T-8109D-50,V1.001,20000511,Europe,T-81,SEGA SEGAKATANA,SEGA ENTERPRISES,81EA,GD-ROM1/1,E,0199A01,0WINCEOS.BIN
Bust-A-Move 4 v1.001 (2000)(Acclaim)(US)[!][3S],BUST A MOVE 4,T-8117N,V1.001,20000516,USA/Canada,T-81,SEGA SEGAKATANA,SEGA ENTERPRISES,5966,GD-ROM1/1,U,019FA01,0WINCEOS.BIN
Buzz Lightyear of Star Command v1.000 (2000)(Activision)(US)[!],BUZZ 2000,T13007N,V1.000,20000825,USA/Canada,SEGA LC-T-130,SEGA SEGAKATANA,SEGA ENTERPRISES,9BE4,GD-ROM1/1,U,0799A10,1ST_READ.BIN
Buzz Lightyear of Star Command v1.001 (2000)(Activision)(PAL)[!],BUZZ 2000,T13005D 05,V1.001,20001206,Europe,SEGA LC-T-130,SEGA SEGAKATANA,SEGA ENTERPRISES,CCDF,GD-ROM1/1,E,0799A10,1ST_READ.BIN
Caesars Palace 2000 - Millennium Gold Edition v1.000 (2000)(Interplay)(PAL)[!],CAESARS PALACE 2000,12502D-50,V1.000,20000313,Europe,RUNECRAFT,SEGA SEGAKATANA,SEGA ENTERPRISES,B7B0,GD-ROM1/1,E,199811,0WINCEOS.BIN
Caesars Palace 2000 - Millennium Gold Edition v1.011 (2000)(Interplay)(US)[!],CAESARS PALACE 2000,T-12504N,V1.011,20000829,USA/Canada,RUNECRAFT,SEGA SEGAKATANA,SEGA ENTERPRISES,D183,GD-ROM1/1,U,799811,0WINCEOS.BIN
Cafe Little Wish v1.000 (2003)(Princess Soft)(JP)[!],CAFE LITTLEWISH,T46513M,V1.000,20030328,Japan/Asia,SEGA LC-T-465,SEGA SEGAKATANA,SEGA ENTERPRISES,8B5D,GD-ROM1/1,J,799810,1ST_READ.BIN
Canary - Kono Omoi o Uta ni Nosete v1.001 (2001)(NEC InterChannel)(JP)[!],CANARY,T20111M,V1.001,20010629,Japan/Asia,SEGA LC-T-201,SEGA SEGAKATANA,SEGA ENTERPRISES,E36E,GD-ROM1/1,J,799810,1ST_READ.BIN
Candy Stripe - Minarai Tenshi v1.002 (2000)(Sega)(JP)[!],CANDY STRIPE,HDR-0172,V1.002,20000101,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,CBF1,GD-ROM1/1,J,799810,1ST_READ.BIN
Cannon Spike v1.000 (2001)(Bigben)(PAL)[!],CANNON SPIKE,T46601D 05,V1.000,20010808,Europe,SEGA LC-T-466,SEGA SEGAKATANA,SEGA ENTERPRISES,B158,GD-ROM1/1,E,799800,1ST_READ.BIN
Cannon Spike v1.001 (2000)(Capcom)(US)[!],CANNON SPIKE,T1215N,V1.001,20000710,USA/Canada,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,08D0,GD-ROM1/1,U,07BBA10,1ST_READ.BIN
Canvas - Sepia-iro no Motif v1.002 (2001)(NEC InterChannel)(JP)[!],CANVAS,T20108M,V1.002,20010304,Japan/Asia,SEGA LC-T-201,SEGA SEGAKATANA,SEGA ENTERPRISES,AABF,GD-ROM1/1,J,799810,1ST_READ.BIN
Capcom vs. SNK - Millennium Fight 2000 Pro v1.001 (2001)(Capcom)(JP)[!],CAPCOM VS SNK PRO,T1247M,V1.001,20010408,Japan/Asia,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,360E,GD-ROM1/1,J,27BBA10,1ST_READ.BIN
