Redump_Name,Game_Title,Product_Number (GameID),Version,Build_Date,CD_Number,Region,Compatible_Peripherals,Hardware_Identifier,Marker_ID
Baku Baku Animal - Sekai Shiiku Gakari Senshuken (Japan) (Rev A),BAKUBAKU ANIMAL,GS-9040,V1.001,19951110,CD-1/1,JT,J,SEGA SEGASATURN,SEGA ENTERPRISES
Baku Baku Animal - World Zookeeper Contest (Europe),BAKU BAKU ANIMAL,MK-81501,V1.001,19960514,CD-1/1,E,J,SEGA SEGASATURN,SEGA ENTERPRISES
Baku Baku Animal - World Zookeeper Contest (USA),BAKU BAKU ANIMAL,MK-81501,V1.004,19960416,CD-1/1,UTJ,J,SEGA SEGASATURN,SEGA ENTERPRISES
Bakuretsu Hunter (Japan) (Disc 1),BAKURETU,T-22402G,V1.002,19960315,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-224
Bakuretsu Hunter (Japan) (Disc 2) (Omake CD),BAKU OMAKE CD,T-22402G,V0.000,19960223,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-224
Bakuretsu Hunter R (Japan),BAKURETU HUNTER R,T-24903G,V1.005,19970418,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-249
Bakushou!! All Yoshimoto Quiz-ou Kettei-sen DX (Japan),YOSHIMOTO QUIZ DX,T-20001G,V1.001,19951019,CD-1/1,JT,J,SEGA SEGASATURN,SEGA TP T-200
Baldy Land (Japan),BALDYLAND,T-20608G,V1.300,19980710,CD-1/1,J,JM,SEGA SEGASATURN,SEGA TP T-206
Baroque (Japan),BAROQUE,T-33901G,V1.004,19980410,CD-1/1,J,JE,SEGA SEGASATURN,SEGA TP T-339
Baroque Report - CD Data File (Japan),BAROQUE REPORT CD DATA FILE,6106848,V1.002,19971216,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-339
Bases Loaded '96 - Double Header (USA),DOUBLE HEADER,T-5703H,V1.001,19951221,CD-1/1,U,J,SEGA SEGASATURN,SEGA TP T-57
Batman Forever - The Arcade Game (Europe),BATMAN COINOP,T-8140H-50,V1.000,19961025,CD-1/1,E,JA,SEGA SEGASATURN,SEGA TP T-81
Batman Forever - The Arcade Game (Japan),BATMAN COINOP,T-8118G,V1.000,19961031,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-81
Batman Forever - The Arcade Game (USA),BATMAN COINOP,T-8140H,V1.000,19961008,CD-1/1,U,JT,SEGA SEGASATURN,SEGA TP T-81
Batsugun (Japan),BATSUGUN,T-20605G,V1.001,19960912,CD-1/1,J,JE,SEGA SEGASATURN,SEGA TP T-206
Battle Arena Toshinden Remix (Europe),Battle Arena Toshinden Remix,MK-81029,V1.000,19960226,CD-1/1,E,J,SEGA SEGASATURN,SEGA ENTERPRISES
Battle Arena Toshinden Remix (USA),Battle Arena Toshinden Remix,MK-81029,V1.000,19960229,CD-1/1,JTU,J,SEGA SEGASATURN,SEGA ENTERPRISES
Battle Arena Toshinden URA - Ultimate Revenge Attack (Europe),TOUSHINDEN URA,MK-81054,V1.000,19961012,CD-1/1,E,J,SEGA SEGASATURN,SEGA ENTERPRISES
Battle Arena Toshinden URA - Ultimate Revenge Attack (Europe) (Beta) (1996-11-08),TOUSHINDEN URA,MK-81054,V1.000,19961008,CD-1/1,E,J,SEGA SEGASATURN,SEGA ENTERPRISES
